   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:32
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sariakandi	51185	21072	3026	8401	2252	1780	845	4387	5232	41763	81.5923
Sherpur	78402	37520	4729	10253	1931	723	2180	4492	6672	61828	78.8602
Shibganj	88177	41848	4247	12047	1680	1338	3817	5186	9003	70163	79.5706
Dhunot	64620	26838	2885	14167	1566	567	2071	3388	5459	51482	79.6688
Dupchanchia	42529	20211	1580	5031	1319	333	2751	3013	5764	34238	80.5051
Nandigram	43573	24583	1202	2968	587	229	2019	2490	4509	34078	78.2090
Adamdighi	43998	21459	2382	3889	1065	334	1183	4572	5755	34884	79.2854
Bogra Sadar	89236	36725	8632	10715	2883	3091	1961	5266	7227	69273	77.6290
Kahaloo	53158	26289	3383	4733	1173	913	3171	2848	6019	42510	79.9691
Gabtali	72183	29858	3802	15857	1701	1458	1141	3888	5029	57705	79.9426
Sonatola	38954	17666	2391	5671	1388	443	454	2305	2759	30318	77.8303
Shajahanpur	74814	33854	7149	8679	2273	1224	1743	3552	5295	58474	78.1592

 
