   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:50
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Dherai	39564	14000	4199	3968	1829	822	1886	3623	5509	30327	76.6530
Sunamganj Sadar	40573	15816	3486	7328	1696	1834	779	3126	3905	34065	83.9598
Dharmapasa	42037	16618	3408	5689	1603	339	516	3499	4015	31672	75.3432
Sulla	19334	6871	1959	2358	650	222	831	1923	2754	14814	76.6215
Tahirpur	33855	13336	2479	4737	2121	850	1567	2232	3799	27322	80.7030
Chhatak	51982	18296	6164	5504	2830	284	2568	4648	7216	40294	77.5153
Jogonnathpur	33042	12561	3118	2542	1454	1022	1910	3388	5298	25995	78.6726
Jamalganj	28410	11607	2793	4272	1322	38	432	1817	2249	22281	78.4266
Bishwamvarpur	25568	9545	2343	3509	1137	931	1491	1610	3101	20566	80.4365
Dowara Bazar	37397	16107	2030	5949	1032	676	1907	1766	3673	29467	78.7951
Sadar (South)	27354	10128	2100	3159	1196	577	1101	2228	3329	20489	74.9031

 
