   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:31
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bhurungamari	58938	24634	1996	10853	571	816	962	2755	3717	42587	72.2573
Roumari	40840	17131	2418	7720	1528	396	1031	1341	2372	31565	77.2894
Kurigram Sadar	65956	31283	2198	11391	536	468	1779	3604	5383	51259	77.7170
Ulipur	95736	51933	1510	13497	1274	786	1490	2197	3687	72687	75.9244
Nageswari	86568	44781	1495	10426	1654	598	2407	3986	6393	65347	75.4863
Chilmari	33496	15336	1057	5600	662	267	480	1470	1950	24872	74.2536
Fulbari	34941	15697	674	5466	533	503	1464	3506	4970	27843	79.6858
Char Rajibpur	18367	6277	1774	5145	435	249	482	346	828	14708	80.0784
Rajarhat	42714	18242	1717	7162	511	439	1166	2444	3610	31681	74.1701

 
