Data,Organisation unit,Value
MBFFI|Number of  full term  babies born in facility,Ulipur Upazila,572.0
MBFFI|# sick newborns(inborn) referred,Roumari Upazila,34.0
MBFFI|Number of newborns dried immediately after birth,Roumari Upazila,1041.0
MBFFI|ANC service provided as per EMEN standards,Fulbari KG Upazila,2690.0
MBFFI|# premature newborns(inborn )  referred out,Fulbari KG Upazila,4.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Roumari Upazila,48.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Roumari Upazila,1050.0
MBFFI|No. of ongoing PDCA,Roumari Upazila,8.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Ulipur Upazila,4289.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Nageshwari Upazila,2.0
MBFFI|# delivered newborns for which weight was measured,Fulbari KG Upazila,322.0
MBFFI|# postpartum newborns  received 2nd PNC,Nageshwari Upazila,46.0
MBFFI|Facility LBWs amongst delivered,Nageshwari Upazila,5.0
MBFFI|# delivered newborns for which weight was measured,Roumari Upazila,1057.0
MBFFI|Number of neonatal deaths (inborns),Nageshwari Upazila,1.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Nageshwari Upazila,387.0
MBFFI|# newborns received 3rd PNC,Fulbari KG Upazila,130.0
MBFFI|# pregnant women who are poor and received financial support/free services,Nageshwari Upazila,112.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Roumari Upazila,1066.0
MBFFI|# postpartum newborns received 1st PNC,Nageshwari Upazila,326.0
MBFFI|# postpartum mothers received 2nd PNC,Nageshwari Upazila,46.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Roumari Upazila,9.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Fulbari KG Upazila,289.0
MBFFI|# women in labour whose partograph was done,Nageshwari Upazila,104.0
MBFFI|# postpartum mothers received 4th  PNC,Roumari Upazila,256.0
MBFFI|# newborns received 4th PNC,Nageshwari Upazila,87.0
MBFFI|# sick newborns(inborn) referred,Fulbari KG Upazila,22.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Fulbari KG Upazila,38.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Fulbari KG Upazila,36.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Fulbari KG Upazila,299.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Fulbari KG Upazila,2.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Nageshwari Upazila,1330.0
MBFFI|# delivered newborns for which weight was measured,Nageshwari Upazila,303.0
MBFFI|Facility Deliveries done following  EMEN standards,Nageshwari Upazila,305.0
MBFFI|# postpartum newborns  received 2nd PNC,Fulbari KG Upazila,307.0
MBFFI|Antibiotics for newborn sepsis (inborn),Fulbari KG Upazila,6.0
MBFFI|Number of newborns dried immediately after birth,Fulbari KG Upazila,324.0
MBFFI|# newborns received 4th PNC,Roumari Upazila,247.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Nageshwari Upazila,2.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Ulipur Upazila,1.0
MBFFI|Facility LBWs amongst delivered,Fulbari KG Upazila,52.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Ulipur Upazila,245.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Roumari Upazila,51.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Nageshwari Upazila,6873.0
MBFFI|No. of  Quality Improvement committee meeting,Roumari Upazila,10.0
MBFFI|# newborns received 4th PNC,Fulbari KG Upazila,48.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Fulbari KG Upazila,3938.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Nageshwari Upazila,319.0
MBFFI|Number of facility maternal deaths audited,Roumari Upazila,1.0
MBFFI|# postpartum newborns received 1st PNC,Ulipur Upazila,625.0
MBFFI|# postpartum newborns  received 2nd PNC,Roumari Upazila,632.0
MBFFI|No. of  Quality Improvement committee meeting,Fulbari KG Upazila,11.0
MBFFI|Number of pregnant women with APH managed as per guideline,Ulipur Upazila,1.0
MBFFI|ANC service provided as per EMEN standards,Nageshwari Upazila,4610.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Nageshwari Upazila,311.0
MBFFI|Antibiotics for newborn sepsis (inborn),Roumari Upazila,39.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Roumari Upazila,17.0
MBFFI|No. of ongoing PDCA,Nageshwari Upazila,6.0
MBFFI|# premature newborns(inborn )  referred out,Roumari Upazila,18.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Nageshwari Upazila,5.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Ulipur Upazila,30.0
MBFFI|# postpartum mothers received 3rd PNC,Ulipur Upazila,749.0
MBFFI|Number of facility neonatal deaths audited,Nageshwari Upazila,1.0
MBFFI|# postpartum mothers received 4th  PNC,Fulbari KG Upazila,48.0
MBFFI|# sick newborns(inborn) referred,Nageshwari Upazila,3.0
MBFFI|# newborns received 3rd PNC,Roumari Upazila,397.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Nageshwari Upazila,7.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Roumari Upazila,51.0
MBFFI|# pregnant women received TT during ANC,Roumari Upazila,891.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Fulbari KG Upazila,1.0
MBFFI|# postpartum mothers received 1st PNC,Roumari Upazila,1460.0
MBFFI|# of WIT meetings took place(total) in a facility,Fulbari KG Upazila,171.0
MBFFI|Number of neonatal deaths (inborns),Roumari Upazila,18.0
MBFFI|Number of  pre term  babies born in facility,Ulipur Upazila,26.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Fulbari KG Upazila,137.0
MBFFI|# pregnant women received TT during ANC,Ulipur Upazila,3802.0
MBFFI|Number of neonatal deaths (inborns),Ulipur Upazila,2.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Fulbari KG Upazila,6.0
MBFFI|Number of  full term  babies born in facility,Nageshwari Upazila,285.0
MBFFI|# postpartum mothers received 1st PNC,Ulipur Upazila,621.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Ulipur Upazila,29.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Nageshwari Upazila,129.0
MBFFI|Number of newborns dried immediately after birth,Nageshwari Upazila,304.0
MBFFI|# newborns received 4th PNC,Ulipur Upazila,580.0
MBFFI|# of deaths preterm newborns(inborn),Fulbari KG Upazila,1.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Roumari Upazila,121.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Ulipur Upazila,621.0
MBFFI|Facility LBWs amongst delivered,Roumari Upazila,79.0
MBFFI|No. of  Quality Improvement committee meeting,Nageshwari Upazila,10.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Ulipur Upazila,568.0
MBFFI|# postpartum mothers received 3rd PNC,Roumari Upazila,414.0
MBFFI|Number of facility neonatal deaths audited,Fulbari KG Upazila,1.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,Roumari Upazila,48.0
MBFFI|# postpartum newborns  received 2nd PNC,Ulipur Upazila,823.0
MBFFI|# postpartum newborns received 1st PNC,Roumari Upazila,1375.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Roumari Upazila,10.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Ulipur Upazila,58.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Ulipur Upazila,62.0
MBFFI|ANC service provided as per EMEN standards,Ulipur Upazila,6526.0
MBFFI|Number of  full term  babies born in facility,Fulbari KG Upazila,305.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Fulbari KG Upazila,303.0
MBFFI|Facility Deliveries done following  EMEN standards,Ulipur Upazila,614.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Roumari Upazila,39.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Ulipur Upazila,12.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Fulbari KG Upazila,6.0
