Data,Organisation unit,Value
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Rowmari Upazila Health Complex,1050.0
MBFFI|Facility LBWs amongst delivered,Nageswari Upazila Health Complex,5.0
MBFFI|Number of newborns dried immediately after birth,Rowmari Upazila Health Complex,1041.0
MBFFI|# delivered newborns for which weight was measured,Ulipur Upazila Health Complex,621.0
MBFFI|# newborns received 3rd PNC,Ulipur Upazila Health Complex,779.0
MBFFI|No. of ongoing PDCA,Rowmari Upazila Health Complex,8.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Rowmari Upazila Health Complex,17.0
MBFFI|# premature newborns(inborn )  referred out,Ulipur Upazila Health Complex,9.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Nageswari Upazila Health Complex,2.0
MBFFI|# sick newborns(inborn) referred,Rowmari Upazila Health Complex,34.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Ulipur Upazila Health Complex,9206.0
MBFFI|# postpartum newborns  received 2nd PNC,Nageswari Upazila Health Complex,46.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Rowmari Upazila Health Complex,48.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Fulbari KG Upazila Health Complex,588.0
MBFFI|Number of newborns dried immediately after birth,Ulipur Upazila Health Complex,619.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Nageswari Upazila Health Complex,311.0
MBFFI|ANC service provided as per EMEN standards,Nageswari Upazila Health Complex,4610.0
MBFFI|# newborns received 3rd PNC,Rowmari Upazila Health Complex,397.0
MBFFI|# postpartum mothers received 2nd PNC,Ulipur Upazila Health Complex,902.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Nageswari Upazila Health Complex,5.0
MBFFI|# women in labour whose partograph was done,Ulipur Upazila Health Complex,198.0
MBFFI|# newborns received 4th PNC,Ulipur Upazila Health Complex,580.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Fulbari KG Upazila Health Complex,1.0
MBFFI|# premature newborns(inborn )  referred out,Rowmari Upazila Health Complex,18.0
MBFFI|Antibiotics for newborn sepsis (inborn),Rowmari Upazila Health Complex,39.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Rowmari Upazila Health Complex,10.0
MBFFI|No. of  MNH work Improvement committee meeting,Fulbari KG Upazila Health Complex,3.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Rowmari Upazila Health Complex,3.0
MBFFI|No. of  Quality Improvement committee meeting,Rowmari Upazila Health Complex,10.0
MBFFI|ANC service provided as per EMEN standards,Rowmari Upazila Health Complex,2867.0
MBFFI|Facility Deliveries done following  EMEN standards,Nageswari Upazila Health Complex,305.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Rowmari Upazila Health Complex,1050.0
MBFFI|# postpartum newborns received 1st PNC,Nageswari Upazila Health Complex,326.0
MBFFI|# newborns received 4th PNC,Rowmari Upazila Health Complex,247.0
MBFFI|# postpartum mothers received 4th  PNC,Rowmari Upazila Health Complex,256.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Rowmari Upazila Health Complex,83.0
MBFFI|Facility LBWs amongst delivered,Ulipur Upazila Health Complex,26.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,Rowmari Upazila Health Complex,9.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Nageswari Upazila Health Complex,129.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Nageswari Upazila Health Complex,387.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Ulipur Upazila Health Complex,12.0
MBFFI|# sick newborns(inborn) referred,Ulipur Upazila Health Complex,1.0
MBFFI|# delivered newborns for which weight was measured,Rowmari Upazila Health Complex,1057.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Fulbari KG Upazila Health Complex,621.0
MBFFI|ANC service provided as per EMEN standards,Ulipur Upazila Health Complex,6526.0
MBFFI|# pregnant women who are poor and received financial support/free services,Nageswari Upazila Health Complex,112.0
MBFFI|Total newborn sepsis cases in facility,Fulbari KG Upazila Health Complex,2.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Ulipur Upazila Health Complex,568.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Ulipur Upazila Health Complex,1.0
MBFFI|# postpartum mothers received 2nd PNC,Nageswari Upazila Health Complex,46.0
MBFFI|# of WIT meetings took place(total) in a facility,Rowmari Upazila Health Complex,248.0
MBFFI|No. of ongoing PDCA,Ulipur Upazila Health Complex,13.0
MBFFI|# of deaths preterm newborns(inborn),Ulipur Upazila Health Complex,2.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Rowmari Upazila Health Complex,39.0
MBFFI|# women in labour whose partograph was done,Nageswari Upazila Health Complex,104.0
MBFFI|Number of neonatal deaths (inborns),Nageswari Upazila Health Complex,1.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Ulipur Upazila Health Complex,614.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Nageswari Upazila Health Complex,1330.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Rowmari Upazila Health Complex,1066.0
MBFFI|Facility LBWs amongst delivered,Rowmari Upazila Health Complex,79.0
MBFFI|Number of   delivered newborns in facility given  ENC,Fulbari KG Upazila Health Complex,322.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Rowmari Upazila Health Complex,51.0
MBFFI|Facility LBWs amongst delivered,Fulbari KG Upazila Health Complex,52.0
MBFFI|Number of LBW given KMC,Rowmari Upazila Health Complex,7.0
MBFFI|# pregnant women who are poor and received financial support/free services,Rowmari Upazila Health Complex,40.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Fulbari KG Upazila Health Complex,326.0
MBFFI|# postpartum mothers received 3rd PNC,Fulbari KG Upazila Health Complex,130.0
MBFFI|# newborns received 4th PNC,Fulbari KG Upazila Health Complex,48.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Rowmari Upazila Health Complex,1016.0
MBFFI|# pregnant women received TT during ANC,Rowmari Upazila Health Complex,891.0
MBFFI|Number of facility perinatal deaths audited,Rowmari Upazila Health Complex,11.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Ulipur Upazila Health Complex,58.0
MBFFI|# of deaths preterm newborns(inborn),Rowmari Upazila Health Complex,3.0
MBFFI|Number of  pre term  babies born in facility,Fulbari KG Upazila Health Complex,2.0
MBFFI|Number of facility maternal deaths audited,Rowmari Upazila Health Complex,1.0
MBFFI|# pregnant women received TT during ANC,Ulipur Upazila Health Complex,3802.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Fulbari KG Upazila Health Complex,6.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Ulipur Upazila Health Complex,572.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Nageswari Upazila Health Complex,10.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Ulipur Upazila Health Complex,245.0
MBFFI|# pregnant women who are poor and received financial support/free services,Ulipur Upazila Health Complex,20.0
MBFFI|No. of  Quality Improvement committee meeting,Ulipur Upazila Health Complex,12.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Rowmari Upazila Health Complex,2.0
MBFFI|ANC service provided as per EMEN standards,Fulbari KG Upazila Health Complex,2690.0
MBFFI|Number of LBW given KMC,Ulipur Upazila Health Complex,4.0
MBFFI|# postpartum newborns  received 2nd PNC,Rowmari Upazila Health Complex,632.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Ulipur Upazila Health Complex,4944.0
MBFFI|# sick newborns(inborn) referred,Nageswari Upazila Health Complex,3.0
MBFFI|Facility Deliveries done following  EMEN standards,Fulbari KG Upazila Health Complex,289.0
MBFFI|# delivered newborns for which weight was measured,Nageswari Upazila Health Complex,303.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Rowmari Upazila Health Complex,1.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Rowmari Upazila Health Complex,373.0
MBFFI|Number of pregnant women with APH managed as per guideline,Rowmari Upazila Health Complex,8.0
MBFFI|# postpartum mothers received 2nd PNC,Rowmari Upazila Health Complex,706.0
MBFFI|# postpartum newborns received 1st PNC,Fulbari KG Upazila Health Complex,332.0
MBFFI|# women in labour whose partograph was done,Rowmari Upazila Health Complex,374.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Nageswari Upazila Health Complex,32.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Nageswari Upazila Health Complex,6873.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Ulipur Upazila Health Complex,519.0
MBFFI|# postpartum newborns  received 2nd PNC,Ulipur Upazila Health Complex,823.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Rowmari Upazila Health Complex,136.0
MBFFI|# postpartum mothers received 1st PNC,Fulbari KG Upazila Health Complex,338.0
