variable,census_program_code,census_program_definition
ZL,C01,"Area, Households, Population, Density by Residence and Community"
UZ,C01,"Area, Households, Population, Density by Residence and Community"
UN/WA,C01,"Area, Households, Population, Density by Residence and Community"
MZ/MH,C01,"Area, Households, Population, Density by Residence and Community"
RMO,C01,"Area, Households, Population, Density by Residence and Community"
Administrative Unit Residence Community,C01,"Area, Households, Population, Density by Residence and Community"
Vill,C01,"Area, Households, Population, Density by Residence and Community"
Total Households,C01,"Area, Households, Population, Density by Residence and Community"
Population-Total,C01,"Area, Households, Population, Density by Residence and Community"
Population-In Households,C01,"Area, Households, Population, Density by Residence and Community"
check_var,C01,"Area, Households, Population, Density by Residence and Community"
Area in Acres,C01,"Area, Households, Population, Density by Residence and Community"
RMO,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
UZ,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
UN/WA,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
MZ/MH,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
Vill,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
Administrative Unit Residence Community,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
check_var,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
Population-Male,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
Population-Both,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
Households-Others,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
Households-Institutional,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
ZL,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
Population-Female,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
Sex Ratio,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
Households-Total,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
Households-General,C02,"Distribution of Households and Population by Sex , Sex Ratio, Residence and Community"
Administrative Unit Residence Community,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
UZ,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
UN/WA,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
MZ/MH,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
Vill,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
Percentage of Households comprising-6 persons,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
Percentage of Households comprising-5 persons,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
Percentage of Households comprising-4 persons,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
Percentage of Households comprising-3 persons,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
Percentage of Households comprising-2 persons,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
Percentage of Households comprising-1 person,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
General Households,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
ZL,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
Percentage of Households comprising-7 persons,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
RMO,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
check_var,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
Average size of Household,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
Percentage of Households comprising-8+ persons,C03,"Percentage Distribution of General Households by Size, Average size, Residence and Community"
Percentage of population in the age group 65+,C04,"Percentage Distribution of Population by Age groups, Residence and Community"
check_var,C04,"Percentage Distribution of Population by Age groups, Residence and Community"
Percentage of population in the age group 10-14,C04,"Percentage Distribution of Population by Age groups, Residence and Community"
Percentage of population in the age group 5-9,C04,"Percentage Distribution of Population by Age groups, Residence and Community"
