Indicator,Health Indicator Group,geo,year
,True,District,2012
% of maternal death reported individually with causes of death,01MaternalHealth,District,2012
Institutional C-section rate,01MaternalHealth,District,2012
Institutional Normal Delivery Rate (Only EmOC Facilities),01MaternalHealth,District,2012
Maternal Case fatality rate (EmOC),01MaternalHealth,District,2012
Percentage of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,District,2012
Percentage of postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,District,2012
Proportion of cases with postpartum hemorrhage among admitted patient in EmONC,01MaternalHealth,District,2012
Proportion of cases with puerperal sepsis among admitted patient in EmONC,01MaternalHealth,District,2012
Total Complicated Mother,01MaternalHealth,District,2012
Total No. of pregnant mothers with obstetric complication,01MaternalHealth,District,2012
Total birth in EmONC facilities,01MaternalHealth,District,2012
Total deliveries in EmONC facilities,01MaternalHealth,District,2012
Total still birth at EmOC facility,01MaternalHealth,District,2012
% of Nurse training on ETAT at SCANU,04Newborn,District,2012
% of female baby admitted in SCANU reported individually,04Newborn,District,2012
% of female baby admitted in SCANU reported monthly,04Newborn,District,2012
% of functional Radiant warmer,04Newborn,District,2012
% of male baby admitted in SCANU reported individually,04Newborn,District,2012
% of male baby admitted in SCANU reported monthly,04Newborn,District,2012
% of non functional Photo therapy unit,04Newborn,District,2012
% of non-functioning Table Resuscitator with Radiant warmer,04Newborn,District,2012
% of nurse allocated in SCANU among all nurses in the facility,04Newborn,District,2012
% of nurse trained on IMCI working at SCANU,04Newborn,District,2012
% of nurse training on KMC at SCANU,04Newborn,District,2012
% of referral cases admitted at SCANU,04Newborn,District,2012
Case fatality rate at SCANU,04Newborn,District,2012
Consultant Bed ratio at SCANU (Recommended 0.1),04Newborn,District,2012
Doctor Bed ratio at SCANU (Recommended 0.4),04Newborn,District,2012
Medical Officer Bed ratio at SCANU (Recommended 0.3),04Newborn,District,2012
Nurse Bed ratio at SCANU (Recommended 0.8),04Newborn,District,2012
Percentage of newborn who received postnatal care within two days of birth at facility,04Newborn,District,2012
Percentage of newborns delivered by SBA at community that received CHX (7.1%) to the cord after birth,04Newborn,District,2012
Percentage of newborns delivered by SBA at facility that received CHX (7.1%) to the cord after birth,04Newborn,District,2012
Percentage of newborns initiated breastfeeding within one hour after birth,04Newborn,District,2012
District EPI AEFI Form need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI AEFI Investigation need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI AEFI line listing form need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI BCG diluent need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI BCG diluent stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI BCG need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI BCG stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI CC supply book need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Child Card need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Child Report Book need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Child register need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI FW product distribution register need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI IPV need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI IPV stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI MR diluent need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI MR diluent stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI MR need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI MR stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Moni Flag requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Moni flag need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI OPV dropper need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI OPV dropper stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI OPV need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI OPV stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI PCV need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI PCV stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Pentavalent need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Safety Box need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Safety box requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Supervision Form need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Syringe (0.05 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Syringe (0.05 ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Syringe (0.1 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Syringe (0.1 ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Syringe (0.5 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Syringe (0.5 ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Syringe (5 ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Syringe (5 ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Syringe(2/3ml) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Syringe(2/3ml) stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI TT Card need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI TT need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI TT stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Tally Book(Women) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Tally Book(child) need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Women Report Book need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI Women register need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI batch card need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI batch card requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI daily vaccine distribution register need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI pentavalent stock requested,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI stock register for logistic need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI stock register for vaccine/diluent need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI supply book need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI temperature chart need with buffer,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI total BCG Diluent supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI total BCG Diluent supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI total BCG Diluent supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI total BCG supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI total BCG supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI total BCG supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI total IPV supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI total IPV supplied on 2nd delivery,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI total IPV supplied on 3rd delivery,06Vaccine&LogisticsstockofDistrict,District,2012
District EPI total MR Diluent supplied on 1st delivery,06Vaccine&LogisticsstockofDistrict,District,2012
