   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:38
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Panchlaish	8700	3218	1515	1202	291	635	197	139	336	7197	82.7241
Rangunia	8830	2720	408	1621	348	532	114	921	1035	6664	75.4700
Doublemooring	11730	3418	2417	1987	469	214	310	454	764	9269	79.0196
Fatichhari	12476	3521	686	2499	273	343	32	795	827	8149	65.3174
Sitakunda	17060	6477	1183	2851	649	661	47	774	821	12642	74.1032
Rawzan	8631	3484	625	922	389	125	17	576	593	6138	71.1157
Sandwip	9717	3635	307	1686	308	86	28	127	155	6177	63.5690
Chandlaish	5468	2526	316	427	144	111	26	368	394	3918	71.6533
Banshkhali	11289	4666	663	2151	106	114	79	176	255	7955	70.4668
Satkania	15224	6428	449	1958	576	301	96	809	905	10617	69.7386
Anwara	9105	3613	505	1124	578	225	130	399	529	6574	72.2021
Patiya	5151	1735	322	746	232	214	21	374	395	3644	70.7435
Lohagora	11216	5190	1007	2570	48	123	19	147	166	9104	81.1698

 
