   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:25
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Panchlaish	8625	3214	1465	1076	211	396	131	133	264	6626	76.8232
Rangunia	18256	6302	841	3207	663	604	98	1421	1519	13136	71.9544
Doublemooring	11669	2870	1964	1706	447	102	276	394	670	7759	66.4924
Fatichhari	24873	8684	1686	4388	585	200	42	1318	1360	16903	67.9572
Sitakunda	14862	6341	1047	2208	472	377	40	736	776	11221	75.5013
Rawzan	12193	3980	1306	1738	421	126	4	477	481	8052	66.0379
Sandwip	11424	4257	582	1537	287	40	7	99	106	6809	59.6026
Chandlaish	5319	2414	205	362	208	112	15	342	357	3658	68.7723
Banshkhali	11841	5790	671	2022	166	80	65	343	408	9137	77.1641
Satkania	12015	5952	823	1462	375	208	44	451	495	9315	77.5281
Anwara	12161	5686	845	1578	487	237	75	370	445	9278	76.2931
Patiya	12225	4717	834	1740	366	376	15	669	684	8717	71.3047
Lohagora	11086	5079	807	2437	42	39	5	94	99	8503	76.7003

 
