   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:56
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Panchlaish	8707	3032	1417	1122	347	939	226	146	372	7229	83.0252
Rangunia	14952	5339	1162	2347	409	681	137	1065	1202	11140	74.5051
Doublemooring	11712	3367	2358	2209	487	330	319	472	791	9542	81.4720
Fatichhari	12764	3985	901	2913	316	459	44	804	848	9422	73.8170
Sitakunda	12059	3825	1099	2061	652	258	46	497	543	8438	69.9726
Mirsharai	9814	3518	537	1374	442	389	1	998	999	7259	73.9658
Rawzan	3112	1293	315	475	178	54	28	125	153	2468	79.3059
Sandwip	3788	1488	104	762	154	66	15	73	88	2662	70.2746
Chandlaish	5606	2471	504	263	195	283	30	380	410	4126	73.5997
Banshkhali	11260	5022	857	2016	337	542	78	239	317	9091	80.7371
Satkania	15807	6790	694	2258	507	710	155	900	1055	12014	76.0043
Anwara	6383	2507	501	901	300	246	85	238	323	4778	74.8551
Patiya	1633	624	124	225	40	90	4	81	85	1188	72.7495
Lohagora	9841	4306	527	1207	60	205	21	225	246	6551	66.5684

 
