   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:16
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Panchlaish	11640	4117	2033	1249	250	451	94	216	310	8410	72.2509
Rangunia	16418	5235	524	2517	527	506	47	1188	1235	10544	64.2222
Doublemooring	11500	2435	1650	1380	430	100	257	377	634	6629	57.6435
Fatichhari	27449	7502	1109	3931	582	141	39	1374	1413	14678	53.4737
Sitakunda	15324	6301	852	2008	347	368	31	708	739	10615	69.2704
Rawzan	12169	4231	1146	1614	348	126	4	463	467	7932	65.1820
Sandwip	10179	3962	1121	1038	213	150	0	234	234	6718	65.9986
Chandlaish	5655	1691	261	1016	262	103	16	348	364	3697	65.3758
Banshkhali	11769	4141	365	500	126	50	33	256	289	5471	46.4865
Satkania	6638	2438	417	839	166	139	12	152	164	4163	62.7147
Anwara	14672	6743	776	1511	567	295	29	353	382	10274	70.0245
Patiya	14966	6598	836	1719	354	422	29	660	689	10618	70.9475
Lohagora	11086	4978	773	2040	43	17	0	61	61	7912	71.3693

 
