   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:33
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mirzapur	8920	4765	882	518	188	85	27	853	880	7318	82.0404
Bhuapur	9402	10025	2484	1562	115	166	127	173	300	14652	155.8392
Ghatail	14453	7322	1114	1698	374	226	404	635	1039	11773	81.4571
Tangail Sadar	14515	6106	2301	2591	252	519	215	443	658	12427	85.6149
Kalihati	40199	9912	3584	718	648	319	1470	1261	2731	17912	44.5583
Modhupur	15584	7372	115	825	221	182	319	740	1059	9774	62.7182
Gopalpur	12952	3172	1698	3183	357	79	210	32	242	8731	67.4104
Delduar	0	0	0	0	0	0	0	0	0	0	NULL

 
