   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:44
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mirzapur	6098	3196	533	384	133	81	44	747	791	5118	83.9292
Bhuapur	6939	3499	761	399	139	381	92	137	229	5408	77.9363
Ghatail	9276	3919	834	984	399	294	334	415	749	7179	77.3933
Basail	13840	4915	1371	2408	769	251	280	581	861	10575	76.4090
Tangail Sadar	15037	5361	1859	2263	279	1091	255	436	691	11544	76.7706
Kalihati	39439	12289	2923	900	609	624	2075	1490	3565	20910	53.0186
Modhupur	19270	8513	690	3224	269	263	595	918	1513	14472	75.1012
Gopalpur	15231	4763	2721	3075	239	333	249	532	781	11912	78.2089
Delduar	8051	3351	642	800	199	232	66	741	807	6031	74.9099

 
