   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:30
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Panchlaish	8700	3352	1585	1212	248	481	146	135	281	7159	82.2874
Rangunia	16589	5828	858	3332	668	644	112	1388	1500	12830	77.3404
Doublemooring	11695	3174	2245	1946	455	141	292	413	705	8666	74.1000
Fatichhari	12247	4273	949	2521	256	250	32	763	795	9044	73.8467
Sitakunda	16303	6402	1029	2788	586	568	46	950	996	12369	75.8695
Rawzan	12192	3938	1339	1727	456	133	4	485	489	8082	66.2894
Chandlaish	5407	2594	330	417	110	82	20	357	377	3910	72.3137
Banshkhali	11989	5306	701	2136	174	95	82	304	386	8798	73.3839
Satkania	12173	5404	417	1460	532	191	50	656	706	8710	71.5518
Anwara	15964	7464	904	2110	917	323	144	617	761	12479	78.1696
Patiya	5022	1656	308	788	191	142	7	361	368	3453	68.7575
Lohagora	11132	5133	852	2473	30	69	8	125	133	8690	78.0632

 
