   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:53
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bhuapur	7094	3462	692	488	321	521	98	137	235	5719	80.6174
Ghatail	14451	6018	1387	1706	572	555	528	745	1273	11511	79.6554
Basail	14804	5184	1652	2529	1209	374	334	667	1001	11949	80.7147
Tangail Sadar	16039	5627	2162	2574	291	1893	332	684	1016	13563	84.5626
Kalihati	28782	12045	3053	3735	844	1290	514	2301	2815	23782	82.6280
Modhupur	45114	20616	2214	6717	726	1196	1644	2322	3966	35435	78.5455
Gopalpur	15251	4771	2613	2944	357	503	266	556	822	12010	78.7489
Delduar	9500	4214	816	1062	244	385	70	842	912	7633	80.3474

 
