   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:25
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Atghoria	33971	14698	1396	4469	1205	1368	299	2502	2801	25937	76.3504
Pabna Sadar	117891	42693	8229	25710	3834	2679	1796	6215	8011	91156	77.3223
Chatmohor	67509	32033	3554	4681	2410	2048	575	7053	7628	52354	77.5511
Ishwardi	65485	23195	6291	11958	2230	3027	604	4282	4886	51587	78.7768
Faridpur	26369	9789	1640	5432	947	543	705	1785	2490	20841	79.0360
Sujanagar	58153	21800	3923	7840	3908	2444	268	4233	4501	44416	76.3778
Santhia	80327	34592	2983	16964	2151	1370	481	4316	4797	62857	78.2514
Bera	52164	24000	2484	8004	1590	1165	207	2089	2296	39539	75.7975
Bhangoora	26394	13497	1591	1642	1075	244	474	1578	2052	20101	76.1575

 
