   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:18
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sariakandi	54537	21036	2526	7070	2061	2217	379	4346	4725	39635	72.6754
Sherpur	75504	38023	3008	6605	1224	813	1689	3646	5335	55008	72.8544
Shibganj	87019	40198	3280	9159	1478	2012	3440	5038	8478	64605	74.2424
Dhunot	64190	27405	1873	10154	1262	731	1838	3148	4986	46411	72.3025
Dupchanchia	41555	19566	1286	4398	1279	630	2414	2636	5050	32209	77.5093
Nandigram	42838	22485	746	2165	588	252	1481	2066	3547	29783	69.5247
Adamdighi	43705	21744	2222	3493	903	562	831	4159	4990	33914	77.5975
Bogra Sadar	89572	35370	7652	9486	3317	3722	2148	5461	7609	67156	74.9743
Kahaloo	52769	26856	2796	3447	1036	1085	2880	2741	5621	40841	77.3958
Gabtali	73300	28822	2857	13393	1281	2584	990	3921	4911	53848	73.4625
Sonatola	37914	17038	1945	4474	1065	531	306	2283	2589	27642	72.9071
Shajahanpur	69021	31942	6123	7593	1965	1739	1433	3024	4457	53819	77.9748

 
