   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:31
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Dherai	36570	13755	4133	3434	1575	111	1119	2575	3694	26702	73.0161
Sunamganj Sadar	38170	14718	3485	5704	1138	690	807	1962	2769	28504	74.6764
Dharmapasa	37506	16315	2737	4872	1004	60	375	2407	2782	27770	74.0415
Sulla	18082	6148	1470	2646	595	92	554	1475	2029	12980	71.7841
Tahirpur	30604	13100	2708	3665	1555	132	670	1482	2152	23312	76.1730
Chhatak	48457	16052	5277	6113	2614	110	1624	3262	4886	35052	72.3363
Jogonnathpur	31404	12524	3694	2474	1053	411	864	2016	2880	23036	73.3537
Jamalganj	25528	11688	2526	3148	902	78	215	1119	1334	19676	77.0762
Bishwamvarpur	23413	8595	2825	3005	592	241	840	1103	1943	17201	73.4677
Dowara Bazar	34439	13770	1442	5907	808	79	1458	990	2448	24454	71.0067
Sadar (South)	26306	9564	2727	3014	1061	230	1015	1453	2468	19064	72.4702

 
