   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:24
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Dherai	35911	12310	3282	2730	1345	31	782	2395	3177	22875	63.6991
Sunamganj Sadar	36718	13297	3172	4963	1417	729	790	1637	2427	26005	70.8236
Dharmapasa	35973	13828	2131	4027	1094	72	280	2363	2643	23795	66.1468
Sulla	17424	5462	1088	2085	425	33	421	1334	1755	10848	62.2590
Tahirpur	29303	10941	1875	3130	1005	18	517	1211	1728	18697	63.8058
Chhatak	47408	12339	3486	5234	2647	132	1311	2689	4000	27838	58.7200
Jogonnathpur	31029	9729	3155	2188	1165	194	515	1461	1976	18407	59.3219
Jamalganj	24862	10621	2181	2563	818	68	129	991	1120	17371	69.8697
Bishwamvarpur	21938	6988	2568	2577	485	155	533	898	1431	14204	64.7461
Dowara Bazar	33535	12146	1153	5381	776	88	939	877	1816	21360	63.6946
Sadar (South)	25924	6975	2401	2529	1352	275	924	1152	2076	15608	60.2068

 
