   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:26
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Gangachara	60143	20287	815	11770	955	2310	4470	4218	8688	44825	74.5307
Pirganj	85351	41060	3108	11149	3648	1450	3518	3490	7008	67423	78.9950
Pirgachha	71287	30438	1488	13982	2289	1948	2192	4449	6641	56786	79.6583
Badarganj	61242	21997	1434	8006	1183	1359	7170	5995	13165	47144	76.9799
Mithapukur	112629	52320	3574	17144	2313	2472	2788	4666	7454	85277	75.7150
Kaunia	47904	19754	1445	9113	620	1595	2004	2603	4607	37134	77.5175
Rangpur Sadar	123238	44737	6528	27649	1229	3843	3958	6468	10426	94412	76.6095
Taraganj	29177	11749	663	2749	563	1223	1650	2692	4342	21289	72.9650

 
