   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:58
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bhurungamari	61714	22382	3262	14156	638	1813	1507	3075	4582	46833	75.8872
Roumari	43606	13219	3440	10957	1711	1178	1988	1234	3222	33727	77.3449
Kurigram Sadar	74892	29396	1665	18785	749	2056	2600	4315	6915	59566	79.5359
Ulipur	102813	43762	3026	20442	2406	2838	1753	2835	4588	77062	74.9536
Nageswari	99460	38412	2734	19447	2026	3145	5506	4240	9746	75510	75.9200
Chilmari	30482	13179	1243	4802	1308	1931	962	1566	2528	24991	81.9861
Fulbari	39023	13459	771	9081	456	1574	1960	3130	5090	30431	77.9822
Char Rajibpur	22259	5920	2907	5669	549	891	1108	310	1418	17354	77.9640
Rajarhat	47116	18425	1829	10889	694	1328	1494	2580	4074	37239	79.0368

 
