   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:32
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mymensingh Sadar	128978	59571	7358	14159	2807	2520	3243	6356	9599	96014	74.4422
Trisal	81293	43411	3161	8954	1276	857	1739	2236	3975	61634	75.8171
Fulbaria	82584	44781	3422	5992	1649	480	3417	2918	6335	62659	75.8731
Bhaluka	81081	40582	3285	5644	1311	700	3201	4779	7980	59502	73.3859
Muktagacha	88677	45256	4636	8981	1764	1149	2741	4014	6755	68541	77.2929
Gafargaon	82558	38201	5178	7219	3933	388	1272	5650	6922	61841	74.9061
Phulpur	112941	61905	3761	7520	2133	1097	2449	5857	8306	84722	75.0144
Gouripur	62907	29978	2083	7055	675	837	1003	4539	5542	46170	73.3941
Ishwarganj	76241	41956	2347	6706	1624	744	1981	3572	5553	58930	77.2944
Nandail	78614	43618	1594	7459	879	503	1574	2304	3878	57931	73.6904
Haluaghat	63767	30192	1709	7179	659	491	1812	3704	5516	45746	71.7393
Dhubaura	38831	15920	1985	5204	777	231	1314	1826	3140	27257	70.1939

 
