   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:41
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Atghoria	34429	13907	1804	4676	1288	968	531	2153	2684	25327	73.5630
Pabna Sadar	127404	41702	9584	29709	5254	3012	4526	6975	11501	100762	79.0886
Chatmohor	70174	30713	4240	6047	3246	1515	938	6955	7893	53654	76.4585
Ishwardi	69355	24569	7193	11539	2544	2904	889	5189	6078	54827	79.0527
Faridpur	27807	9894	1735	6390	1043	659	1049	1829	2878	22599	81.2709
Sujanagar	59916	20599	3145	10005	4536	2141	606	4696	5302	45728	76.3202
Santhia	87558	36214	3996	19501	3099	2337	1398	4835	6233	71380	81.5231
Bera	54873	23997	3087	8906	1942	1617	822	2535	3357	42906	78.1915
Bhangoora	28411	13105	1971	2660	1181	341	976	1702	2678	21936	77.2095

 
