   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:35
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mymensingh Sadar	130203	58752	7044	14704	3241	3282	3748	6680	10428	97451	74.8454
Trisal	82488	43705	3558	9953	1601	1097	2054	2380	4434	64348	78.0089
Fulbaria	83024	44029	3460	6685	1887	750	3758	3025	6783	63594	76.5971
Bhaluka	81142	40223	3484	6399	1449	822	3709	4861	8570	60947	75.1115
Muktagacha	89542	45483	4766	9652	2133	1122	3057	3787	6844	70000	78.1756
Gafargaon	82740	38676	5690	8277	4587	437	1415	5853	7268	64935	78.4808
Phulpur	114271	61381	4435	9074	3086	1950	2729	6026	8755	88681	77.6059
Gouripur	63561	30046	2212	7205	876	1029	1060	4718	5778	47146	74.1744
Ishwarganj	76650	42621	2521	7323	1737	967	2128	3726	5854	61023	79.6125
Nandail	78882	44872	1848	8922	1201	626	1689	2356	4045	61514	77.9823
Haluaghat	64532	30790	1734	7677	699	582	1908	3762	5670	47152	73.0676
Dhubaura	39448	16543	2035	5815	795	234	1400	1890	3290	28712	72.7844

 
