   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:35
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bhurungamari	59951	24648	2338	12760	658	1363	1233	3243	4476	46243	77.1347
Roumari	41618	16283	2403	9071	1820	765	1176	1365	2541	32883	79.0115
Kurigram Sadar	67208	30348	2254	14354	644	591	1948	3718	5666	53857	80.1348
Ulipur	96902	49403	2028	18064	1573	1337	1599	2295	3894	76299	78.7383
Nageswari	88058	42647	1774	14819	1810	1098	3284	4303	7587	69735	79.1921
Chilmari	34001	14148	1160	6285	784	1090	762	1640	2402	25869	76.0831
Fulbari	35353	14798	824	6683	664	795	1797	3559	5356	29120	82.3692
Char Rajibpur	18579	5182	2412	5645	463	357	607	310	917	14976	80.6071
Rajarhat	44369	18163	1654	8499	587	797	1279	2539	3818	33518	75.5437

 
