   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:32
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Dherai	36741	13730	4215	3576	1610	182	1181	2715	3896	27209	74.0562
Sunamganj Sadar	38255	14699	3449	5772	1205	725	824	2120	2944	28794	75.2686
Dharmapasa	37665	16359	3013	5104	1045	59	405	2551	2956	28536	75.7626
Sulla	18065	6319	1525	2668	628	97	577	1511	2088	13325	73.7614
Tahirpur	30643	12847	2714	3585	1581	109	769	1593	2362	23198	75.7041
Chhatak	48630	16217	5383	6178	2637	109	1680	3332	5012	35536	73.0742
Jogonnathpur	31584	12470	3651	2495	1100	434	906	2084	2990	23140	73.2649
Jamalganj	25618	11677	2514	3229	916	75	233	1168	1401	19812	77.3362
Bishwamvarpur	23480	8672	2868	3030	637	264	900	1133	2033	17504	74.5486
Dowara Bazar	34485	13922	1568	5978	845	80	1513	1030	2543	24936	72.3097
Sadar (South)	26409	9831	2739	3159	1093	240	1006	1510	2516	19578	74.1338

 
