   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:26
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Panchlaish	28530	11150	3642	2996	1107	871	320	1507	1827	21593	75.6852
Rangunia	65901	24894	2413	7684	2469	1468	287	6609	6896	45824	69.5346
Doublemooring	39686	13868	4672	3257	1125	938	469	1799	2268	26128	65.8368
Fatichhari	97923	30629	4424	12078	3840	760	139	6564	6703	58434	59.6734
Hathazari	66528	23640	4418	3212	2353	488	102	3753	3855	37966	57.0677
Sitakunda	59989	23606	3125	7043	2137	1408	161	3989	4150	41469	69.1277
Mirsharai	70698	23761	3024	9807	3398	1024	40	5081	5121	46135	65.2564
Rawzan	60280	20885	3224	5707	3127	837	67	4335	4402	38182	63.3411
Sandwip	46447	17746	2225	7986	1338	333	21	878	899	30527	65.7244
Boalkhali	40037	16311	1402	3201	2451	880	129	3387	3516	27761	69.3384
Chandlaish	38198	14265	1880	3851	2360	496	104	3983	4087	26939	70.5246
Banshkhali	70618	26703	3104	5904	1878	916	494	3656	4150	42655	60.4024
Satkania	62493	20894	2526	6351	2424	856	212	3647	3859	36910	59.0626
Anwara	44625	16779	1881	4002	2482	635	103	3246	3349	29128	65.2728
Patiya	87497	36720	4265	7861	3880	2050	283	7346	7629	62405	71.3224
Lohagora	48063	17578	2098	7374	1719	237	60	2812	2872	31878	66.3254

 
