"","Measles_Children12M","Fully_Children23M","BCG_Children23M","OPV2_Children23M","TT1_Mother0-11MChildren","PENTA1_Children12M","OPV3_Children12M","OPV3_Children23M","VitACoverage_Children12-59M","OPV1_Children23M","TT5_Mother0-11MChildren","PENTA2_Children12M","PENTA2_Children23M","OPV1_Children12M","BCG_Children12M","OPV2_Children12M","Fully_Children12M","PENTA1_Children23M","Measles_Children23M","TT2_Mother0-11MChildren","TT3_Mother0-11MChildren","PENTA3_Children23M","PENTA3_Children12M","TT4_Mother0-11MChildren","sex_ratio","rate_infant_mortality","prop_muslim","rate_in_women","prop_source_light_eletricity","rate_separation","rate_in_45to64y","prop_women_15.45y_overwomen","prop_house_wooden","prop_house_bamboo","prop_house_mud","rate_out_65yplus","prop_married_..15y","mean_mothers_age","prop_married_women_15.45y","rate_out_0to14y","rate_out_women","prop_pop_women","prop_secondary_or_higher","rate_live_births","rate_fertility","rate_out_men","prop_registered_births","prop_pop_rural","prop_house_semipucca","prop_household_head_women","rate_in_65yplus","rate_out_15to44y","rate_literacy_7yplus","rate_marriage","prop_drinking_tubewell_water","prop_deaths_rural","prop_pop_rural_women","rate_under5y_mortality","mean_age_marriage","prop_hindu","rate_in_15to44y","rate_in_men","rate_in","prop_attendant_delivery","rate_divorce","prop_women_15.45y_overtotal","dependency_ratio","rate_in_0to14y","prop_house_building","prop_primary","prop_live_births","rate_child_death","mean_age","prop_divorce_marriage","ratio_child_women","rate_maternal_mortality","rate_out","prop_sanitary_open","mean_household_head_age","rate_out_45to64y","prop_sanitary_with_water","rate_death","03Immunization: PCV vial wastage rate","04Newborn: Percentage of newborns delivered by SBA at community that received CHX (7.1%) to the cord after birth","03Immunization: OPV 3 Crude Coverage %","03Immunization: Penta 1 to MR 1 drop out Rate","03Immunization: Pentavalent vial wastage rate","03Immunization: Penta 2 Crude Coverage %","01MaternalHealth: Institutional Normal Delivery Rate (Only EmOC Facilities)","03Immunization: PCV 2 Crude Coverage %","01MaternalHealth: Percentage of postpartum hemorrhage among admitted patient in EmONC","03Immunization: MR 1 Crude Coverage %","03Immunization: fIPV1 Crude Coverage %","03Immunization: IPV vial wastage rate","03Immunization: fIPV2 Crude Coverage %","02ChildHealth: % of neonatal death reported individually","07Vaccine&LogisticsstockofUpazilaMunCC: Differences between Pentavalent doses and vial uses","04Newborn: % of female baby admitted in SCANU reported individually","01MaternalHealth: Percentage of cases with puerperal sepsis among admitted patient in EmONC","04Newborn: Percentage of newborns initiated breastfeeding within one hour after birth","04Newborn: % of male baby admitted in SCANU reported individually","02ChildHealth: IMCI Stunting (%)","03Immunization: MR vial wastage rate","02ChildHealth: % of breast feeding initiated within 1 hour by CSBA","03Immunization: BCG left out Rate","03Immunization: BCG to Penta 3 drop out Rate","03Immunization: Pentavalent vial use and doses ratio","01MaternalHealth: Institutional C-section rate","05Logistics: Percentage of functional x-ray","03Immunization: Penta 3 Crude Coverage %","03Immunization: Penta 1 to Penta 3 drop out Rate","03Immunization: BCG Crude Coverage %","02ChildHealth: Percentage of diarrhea reported at facility","01MaternalHealth: % of maternal death reported individually with causes of death","02ChildHealth: Percentage of pneumonia reported at facility","03Immunization: OPV vial wastage rate","01MaternalHealth: Proportion of cases with postpartum hemorrhage among admitted patient in EmONC","03Immunization: PCV 3 Crude Coverage %","03Immunization: BCG vial wastage rate","03Immunization: OPV 1 Crude Coverage %","02ChildHealth: IMCI Wasting (%)","03Immunization: OPV 0 Crude Coverage %","02ChildHealth: Neonatal Case fatality rate (EmOC)","03Immunization: EPI Session drop out rate","03Immunization: Penta 1 to MR 2 drop out Rate","04Newborn: Percentage of newborn who received postnatal care within two days of birth at facility","01MaternalHealth: Maternal Case fatality rate (EmOC)","01MaternalHealth: Proportion of cases with puerperal sepsis among admitted patient in EmONC","05Logistics: Percentage of functional ambulance","04Newborn: Percentage of newborns delivered by SBA at facility that received CHX (7.1%) to the cord after birth","03Immunization: PCV 1 Crude Coverage %","03Immunization: MR 2 Crude Coverage %","03Immunization: Penta 1 Crude Coverage %","02ChildHealth: IMCI Underweight (%)","03Immunization: TT vial wastage rate","03Immunization: BCG to MR 1 Drop out Rate","03Immunization: OPV 2 Crude Coverage %","distr_GOdistr_GOPill_total","Imp12DistrNGOMonthThana_Percent_PerFemale","imp11subdistr_ngothanaprocessNGO_Percent_Condom","imp11subdistr_thanaprocessPercent_Implant","distr_GOdistr_GOImp_normal","imp11subdistr_thanaprocessCAR","imp12distr_monthprocessImp12DistrMonthThana_Percent_IUD","distr_GOdistr_GOfemalenormal","distr_GOdistr_GOfemale_total","Imp12DistrNGOMonthThana_Percent_IUD","distr_GOdistr_GOImp_total","Imp12DistrNGOMonthThana_Percent_Implant","distr_GOdistr_GOIUD_total","imp11subdistr_ngothanaprocessNGO_Percent_Injectable","imp11subdistr_thanaprocessPercent_Pill","imp12distr_monthprocessImp12DistrMonthThana_CAR","distr_GOdistr_GOPermanent_method","imp11subdistr_thanaprocessPercent_IUD","imp11subdistr_thanaprocessPercent_PerFemale","Imp12DistrNGOMonthThana_Percent_Injectable","imp11subdistr_thanaprocessPercent_Injectable","imp11subdistr_ngothanaprocessNGO_Percent_PerFemale","Imp12DistrNGOMonthThana_CAR","imp12distr_monthprocessImp12DistrMonthThana_Percent_Pill","imp12distr_monthprocessImp12DistrMonthThana_Percent_Implant","imp11subdistr_ngothanaprocessNGO_Percent_PerMale","distr_GOdistr_GOper_male","imp11subdistr_ngothanaprocessNGO_Percent_Implant","distr_GOdistr_GOInj_vial","Imp12DistrNGOMonthThana_Percent_Condom","distr_GOdistr_GOIUD_normal","Imp12DistrNGOMonthThana_Percent_PerMale","Imp12DistrNGOMonthThana_Percent_Pill","imp12distr_monthprocessImp12DistrMonthThana_Percent_Injectable","distr_GOdistr_GOCondom","imp11subdistr_ngothanaprocessNGO_Percent_Pill","imp12distr_monthprocessImp12DistrMonthThana_Percent_PerMale","imp11subdistr_thanaprocessPercent_Condom","imp12distr_monthprocessImp12DistrMonthThana_Percent_PerFemale","imp11subdistr_ngothanaprocessNGO_Percent_IUD","imp12distr_monthprocessImp12DistrMonthThana_Percent_Condom","distr_GOdistr_GOShukhi","imp11subdistr_thanaprocessPercent_PerMale","imp11subdistr_ngothanaprocessNGO_CAR","sex_ratio_1","prop_unmet_need_family_planing","prop_female_head","prop_women_15.45y_overwomen_1","prop_married_..15y_1","prop_antenatal_coverage","prop_married_women_15.45y_1","prop_pop_women_1","prop_pop_rural_1","prop_registered_under5","prop_institutional_delivery","prop_pop_rural_women_1","prop_antenatal_care4.","prop_attendant_delivery_1","dependency_ratio_1","prop_caesarean","prop_current_contraceptive"
"Bagerhat",4.15,10.79,0.1,1.15,9,-0.71,-2.68,-2.47,-15.2,-0.71,14.42,0.83,1.15,-0.71,0.1,0.83,10.86,-0.71,4.65,13.46,19.47,6.31,6.07,17.01,-2.54,28.04,11.86,117.53,28.78,190.91,125.47,-1.62,-3.31,-52.88,5.41,151.18,9.09,0,7.71,135.63,111.16,1.3,14.7,66.76,69.14,126,-5.07,4.09,1.24,47.17,365,107.61,45,106.08,-6.58,-0.82,5.77,-4,9.09,-40.64,122,154.55,133.62,133.92,-23.08,-0.36,0.19,146.33,44.23,10.28,-1.07,-100,5.4,-62.94,3.79,-100,117.33,613.79,1.91,118.79,10.14,15.57,-606,-9.08,1.93,-54.1,-Inf,2.33,4.08,1.52,-21.62,5.09,-50.1,94.3,-50.1,-6.25,545.25,0,150,-8.76,0,50,14.24,-3.15,-88.75,-65.71,225.58,-10.97,-17,2.13,-13.13,4.52,1.94,0,-10.27,3.24,-21.62,-0.51,1.13,1.91,-5.56,-45.45,-6.92,-10.62,179.83,4.41,-37.68,150,-8.95,-9.28,1.91,-23.08,2.01,34.37,163.58,-64.65,2.22,18.79,20.54,-5.63,69.01,17.98,0.69,-19.78,-42.36,-21.28,53.16,25.09,59.34,16.56,18.78,-2.08,0.69,-39.53,-19.78,4.64,18.78,-4.2,20.54,4.49,-2.08,69.01,23.1,-68.09,59.34,6.9,-5.63,15.66,23.1,-16.41,-4.2,38.37,-16.41,-3.62,13.36,4.64,53.16,13.36,16.67,-3.62,4.49,1.58,39.42,-63.06,4.09,-0.79,62.79,-6.83,-11.13,25.26,14.37,-13.6,32.8,-5.38,3.85,-23.6,42.19,3.51
"Bandarban",8.96,10.1,4.98,4.41,6.52,2.12,-1.13,-1.79,0.96,2.67,69.17,5.1,5.1,2.67,4.98,4.41,10.67,2.12,9.11,8.22,18.92,4.03,4.77,46.59,-4,-78.52,-18.07,9.51,-29.22,-59.26,-11.21,0.95,-15.23,33.42,0.95,60.75,-5.44,0,-7.18,-26.21,5.55,2.11,-14.75,2.19,-1.37,-15.36,-100,33.36,14.81,17.65,54.08,2.21,44.74,89.17,10.64,19.05,34.98,-21.23,-8.33,-49.84,14.06,8.61,9.06,366.36,179.63,3.08,-9.87,2.57,-55.53,-7.15,0.46,981.63,9.57,48.68,-31.93,-100,-4.69,71.13,7.55,26.4,-50.64,-7.18,-625,-19.48,-1.6,-70.83,19.05,-2.66,-4.19,-2.01,-37.5,0.76,-52.98,21.43,-52.99,-71.43,132.23,0,-37.5,-14.12,0,0,7.21,-6.54,160,-33.33,15,33.03,12.5,-1.6,-25.81,-3.27,6.67,NA,2.15,-2.69,-37.5,-1.5,0.45,-2.19,118.75,15.56,164.03,-64.44,241.18,-9.87,-87.78,-37.5,-9.47,-16.74,-3.11,-24.49,-2.49,14.29,33.7,-66.1,-1.69,16.27,NA,NA,80.84,86.23,1.22,7.03,-58.35,-52.95,NA,88.6,NA,37.22,NA,-11.88,1.22,-10.82,7.03,-5.26,NA,-8.62,NA,NA,-11.88,80.84,NA,-26.83,NA,34.36,NA,35,NA,NA,-8.62,11.75,NA,90.13,-17.47,-5.26,NA,-17.47,13.12,90.13,NA,0.58,-49.98,125.78,54.08,-8.1,233.33,-23.33,-38.98,NA,28,Inf,NA,Inf,Inf,-57.99,Inf,40.02
"Barguna",10.17,14.02,-0.3,-0.3,-0.2,-1.2,-1.8,-1.89,0.1,-0.7,31.52,-0.71,-0.3,-0.7,-0.3,-0.71,17.74,-1.2,7.72,-1.22,22.1,6.48,6.53,35.29,1.03,39.19,-1.52,6.41,48.27,-100,16.99,0,5.65,-96.99,-80.95,-32.17,0.28,8,-1.75,-7.59,-6.92,-0.52,27.12,-18.81,-18.21,15.73,-16.67,-6.87,-15.77,-3.38,25.74,11.62,41.42,-7.74,4.6,17.24,-8.43,-24.06,-4.35,27.38,16.73,4.83,5.73,262.55,66.67,-0.52,-12.29,-17.08,-29.93,9.67,-0.23,-100,8.73,81.68,-27.71,NA,3.2,-48.28,1.67,-6.04,44.82,-1.73,-814.63,-24.89,-1.04,-29.17,-Inf,0,-16.46,0,7.14,1.59,-52.38,0,-52.37,-34.28,Inf,NA,-56.25,-11.38,0,-20,0,-3.24,-29.03,110.53,-Inf,16.5,-10.44,0.21,368.75,0.93,5.21,-50,7.62,-41.03,7.14,-1.45,0.11,0.83,-21.43,-30.88,13.45,-39.06,47.27,-21.56,62.56,-56.25,9.82,-25.31,0.41,-1.86,0.93,-20,116.33,-25,-0.93,-7.22,-46.98,-7.48,29.33,-13.97,0.86,-11.81,-18.73,107.76,-26.99,-9.49,-12.71,-5.34,17.19,-3.18,0.86,-53.37,-11.81,-14.58,17.19,-0.28,-46.98,22.14,-3.18,29.33,0.31,-67.44,-12.71,-15.14,-7.48,-5.34,0.31,-0.12,-0.28,-2.34,-0.12,19.6,-2.75,-14.58,-26.99,-2.75,-8.82,19.6,22.14,-16.71,-26.21,171.38,-8.97,-0.22,0.16,-1.7,13.07,46.3,-39.37,160.8,72.15,126.32,111.23,-3.52,339.54,1.3
"Barisal",12.71,22.22,1.12,1.22,2.99,0.51,1.06,1.59,26.58,0.51,93.55,1.22,1.22,0.51,1.12,1.22,23.98,0.51,11.87,5.49,25.42,10.47,9.9,51.34,-5.16,-70.34,-7.17,252.52,45.19,-100,380.98,7.19,-42.09,-93.86,75,310.99,7.14,0,9.3,206.53,219.52,2.73,55.72,1.47,-8.42,287.55,-93.89,-59.23,85.37,15.66,239.42,265.45,42.37,22.61,-7.09,-51.56,-57.9,-40.09,4.55,122.14,269.08,274.99,262.84,145.09,-98.2,10.1,-8.54,226.74,315.11,-15.63,0.65,543.42,3.55,-98.67,-0.09,Inf,249.51,109.52,-4.38,294.25,36.34,29.65,-1057.35,-16.9,-1.21,-16.67,7114.29,-0.2,4.14,-2.21,-52,-0.4,-52.16,0,-52.14,1029.25,12356.1,0,50,17.27,NA,-36.23,0.86,-16.8,-89.89,-45.83,7114.29,-2.11,14.2,0.3,-40,-0.79,11.24,NA,11.8,-146,-52,-1.83,-1.97,-0.6,-12,-22.76,-91.09,216.47,400,24.33,-100,50,-10.22,13.11,-2.29,-17.2,-0.6,-4.55,0,-25,-0.2,-81.63,-37.77,19.9,98.88,-68.73,4.34,-6.44,-91.75,-85.86,-29.79,-67.1,70.57,-89.38,-7.72,-5.16,4.34,-88.71,-6.44,-0.59,-7.72,-2.43,-37.77,11.22,-5.16,98.88,76.36,-59.28,70.57,-82.89,19.9,-89.58,76.36,-5.56,-2.43,-78.93,-5.56,21.14,4.48,-0.59,-29.79,4.48,-81.9,21.14,11.22,6.43,-24.27,37.06,6.08,-3.48,81.79,-1.34,26.51,246.47,-39.27,115.19,218.31,22.09,111.4,-20.99,139.05,-0.11
"Bhola",14.94,19.82,-0.2,3.42,1.42,-0.2,1.61,1.61,12.97,0.81,36.83,4.18,4.18,0.81,-0.2,3.42,22.22,-0.2,13.65,3.95,9.8,9.5,9.5,16.86,-6.09,-40.52,0.51,21.54,55.02,311.11,-2.7,-2.07,-0.06,-96.35,-97.65,-30.25,5.83,0,7.35,-23.43,-7.04,3.31,18.53,-29.61,-29.9,-17.26,-80.92,-16.64,40.08,24.18,57.14,0.4,59.73,-22.29,-0.79,25.47,-14.41,-14.35,0,-8.61,20.47,9.95,16.2,316.81,704.17,1.16,2.18,9.19,103.55,-2.52,-0.73,126.32,4.59,944.22,5.74,78.44,-11.73,-52.29,-2,-40,-8.79,-6.24,-1743.9,-5.35,2.57,-73.85,11900,6.09,3.35,3.53,-15.77,3.72,-51.26,0,-51.27,-47.06,41350,0,-65.22,-14.14,0,-34.59,2.16,-0.62,-78.1,-47.73,13900,-9.31,-2.03,5.68,-32.14,3.44,-1.4,52.35,22.99,-24.36,-15.77,3.44,-0.24,3.43,-36.14,-7.92,27.39,45.07,510,-28.54,-58.98,-65.22,-0.79,-11.92,3.44,0.22,5.55,-28.7,78.85,-17.65,2.98,-11.41,-0.78,-16.94,94.32,81.71,10.22,25,-94.24,-51.97,44.44,85.62,242.07,38.32,-12.2,-1.71,10.29,-32.34,25,-19.45,-12.2,-5.35,-0.78,9.58,-1.78,94.32,56.08,-33.08,242.07,-8.07,-16.94,24.26,56.08,6.04,-5.33,-0.52,6.04,18.45,2.83,-19.45,44.44,3.04,-12.92,18.45,9.58,7.33,-7.4,-37.52,4.18,0.59,14.82,2.87,-0.6,35,-16.75,16.91,31.09,-47.07,54.92,-13.49,6.93,-1.64
"Bogra",3.37,3.87,0.3,1.35,1.42,-0.8,-0.85,-0.85,8.17,-0.8,45,1.35,1.35,-0.8,0.3,1.35,1.17,-0.8,5.88,2.61,12.84,-0.21,-0.21,27.63,-4.06,1.6,3.41,69.85,23.31,-45.45,136.39,-0.91,-25.13,-74,-13.53,149.06,6.62,-4,3.47,33.39,48.4,2.14,11.98,18.79,19.7,69.02,-10.71,-19.23,51.46,23.81,534.09,61.5,59.62,13.28,-2.32,-20.86,-17.46,4.99,0,-37.91,56.42,93.39,79.32,131.76,-12.27,1.19,-4.78,105.31,48.42,17.42,-1.91,65.38,4.1,-22.49,-8.06,Inf,56.8,21.86,0.46,97.4,-1.77,-12.81,-966.15,-27.1,2.08,-61.67,400,2.36,-12.16,1.64,38.39,3.49,-50.65,92.44,-50.68,-40.93,732.46,0,-47.06,57.44,NA,-41.94,5.63,-11.7,-142.73,-29.17,316.67,12.5,4.96,2.28,0,1.62,11.51,62.37,16.72,-2.56,38.39,-0.31,-0.92,1.01,-33.33,-17.86,93.4,789.47,409.3,26.53,-45.31,-47.06,-4.98,24.87,2.02,-16.44,2.32,56.63,37.04,-120.67,2.26,-0.53,5.7,-6.53,124.07,91,2.89,-9.3,-58.19,-33.04,8.38,108.26,119.37,24.28,8.42,-8.48,2.91,-61.88,-9.3,4.56,8.42,-1.6,5.7,5.02,-8.52,124.41,32.21,-85.75,119.37,0.69,-6.53,13.37,32.21,-11.74,-1.6,49.5,-11.74,7.47,13.2,4.56,8.38,13.2,-1.6,7.47,5.02,-4.73,-19.9,13.55,-3.62,0.63,10.57,-1.18,-18.82,-2.55,-18.68,30.02,-2.87,78.87,31.92,-8.67,64.08,-7.03
"Brahmanbaria",15.87,25.47,1.01,-0.51,3.1,-0.2,3.37,1.71,-0.45,-0.91,26.21,0.31,-0.51,-0.2,1.73,0.31,26.03,-0.91,14.67,3.55,11.76,13.08,14.17,19.47,-6.28,-22.18,1.22,225.03,1.58,Inf,417.5,0.96,-12.77,-96.04,12.46,-28.12,3.92,0,5.62,201.17,114.1,3.26,10.51,81.28,72.51,208.39,-94.37,21.65,45.56,24.64,3080,147.6,52.65,169.29,2.88,21.56,25.13,-27.02,-4.76,-15.91,158.9,236.64,230.15,154.89,1576.19,4.28,-2.55,361.69,38.44,-10.62,0.75,-3.88,3.02,509.62,3.92,NA,153.4,-48.81,-1.25,104.65,57.62,127.82,-1011.29,-5.71,-17.24,37.5,-707.69,-16.89,-18.9,-17.88,61.49,-16.39,-59.64,0,-59.59,-29.91,-1371.06,NA,-26.09,8.7,NA,0,1.3,-4.25,145.63,34.15,-707.69,47.62,-13.47,-16.97,15.52,-16.72,7.71,NA,22.64,-6.67,61.49,-17.35,-1.2,-12.25,-5.56,-17.65,2.21,-60,46566.67,479.63,-88.69,-26.09,-0.86,3.2,-17.09,-28.49,-16.87,3.92,-25.23,38.46,-17.29,97.11,5.11,-4.84,82.86,302.87,-0.41,-9.61,-11.82,-5.45,15.19,340.84,10.08,32.22,7.19,-0.39,-0.41,-13.44,-9.61,6.95,7.19,-6.25,5.11,6.14,-0.39,82.86,116.67,-70.83,10.08,77.45,-4.84,32.09,116.67,-3.49,-6.25,59.76,-3.49,57.01,-6.75,6.95,15.19,-6.75,93.38,57.01,6.14,1.68,-10.54,-9.01,1.74,3.29,17.06,4.74,-13.61,-23.62,-52.25,25.11,-31.94,22.58,29.81,-1.82,19.84,7.77
"Chandpur",5.11,2.05,0,0.61,0.41,0.4,-4.31,-4.77,-3.47,0,50,0.92,0.61,0.4,0,0.92,1.18,0,6.48,2.91,9.98,-1.5,-1.09,30.33,-1.9,-15.37,-5.45,95.89,28.71,Inf,162.57,3.63,-7.53,-100,11.11,32.65,5.34,0,3.65,78.63,100.21,0.96,-5.31,57.92,51.16,160.33,-100,1.56,14.61,-5.88,369.7,151.83,37.51,126.16,5.99,-13.56,2.16,-20.1,0,98.67,80.99,76.35,87.24,105.48,69.39,4.61,-4.73,71.84,47.41,7.31,-0.15,3.55,3.47,-24.67,0.21,-30.75,126.74,-25.49,-1.82,134.87,-11.25,37.01,-1323.53,-19.62,1.38,53.85,-1887.88,1.99,-30.97,1.25,-14.63,1.68,-50.4,0,-50.36,5350.87,3064.29,0,-79.31,-38.74,0,-16.67,5.23,-3.56,-60.53,15.79,1541.03,31.4,27.39,2.12,73.91,2.39,3.51,200.12,-13.9,-161.68,-14.63,0.96,-1.17,3.37,-28.21,-16.67,-98.93,3.63,366.67,-35.68,-79.19,-79.31,-6.85,-33.87,2.84,-8,2.84,0,-17.07,54.55,8.48,-0.48,-19.19,19.34,98.27,72.57,6.04,9.37,-68.97,-14.36,25.23,77.71,58.25,-15.57,-2.37,-2.89,6.04,-26.24,9.37,0.2,-2.37,-6.32,-19.19,6.91,-2.89,98.27,39.58,-60.71,58.25,-8.29,19.34,-17.16,39.58,-5.34,-6.32,-11.32,-5.34,24.59,14.58,0.2,25.23,14.58,-3.22,24.59,6.91,6.22,-20.19,14.59,1,6.43,17.74,16.34,-16.22,30.15,-53.78,183.01,33.97,13.22,79.38,-5.5,156.46,13.67
"Chapai Nawabganj",0,-0.57,0,-0.41,-0.2,-0.8,-5.43,-5.91,-20.24,-0.8,-5.35,-0.41,-0.41,-0.8,0,-0.41,-1.29,-0.8,1.09,0,2.61,-1.31,-0.88,-2.3,3.85,83.22,-2.87,15.72,39.35,-50,193.67,1.65,-52.48,-36.53,5.74,-57.89,4.97,0,4.73,2.9,4.64,-1.86,43.91,-7.95,-5.17,-12.1,-100,7.59,-7.32,-28.8,0,-1.35,60.2,43.55,-23.7,48.1,4.87,64.92,0,33.46,20.69,36.28,23.15,40.28,495.74,-0.27,-4.4,13.48,65.42,2.46,-2.67,-100,2.59,312.06,4.2,Inf,-2.48,-24.47,0.98,-22.35,22.5,14.29,-2012.82,-70.34,-7.06,-228,-877.78,-5.13,-4.03,-1.58,-4.41,0,-51.81,275.53,-51.79,4.08,-1630.87,NA,-25,-15.53,0,-11.76,6.52,-71.17,-192.86,-177.01,-877.78,24.06,26.77,-1.29,-667.16,-2.66,5.66,NA,0.94,-12.14,-4.41,10.74,-1.8,-6.91,-13.41,-10,-18.79,Inf,308.33,-13.04,-90.21,-25,-6.44,-15.09,-1.28,-20.15,-5.43,0,-16.75,-101.85,-7.1,88.24,-11.33,6.53,28,5.61,-3.25,-26.09,80.69,87.72,71.43,139.42,71.43,95.68,7.13,-5.28,-3.25,22.39,-26.09,24.37,7.13,-3.02,-11.33,-1.18,-5.28,28,11.96,-86.73,71.43,76.07,6.53,88.15,11.96,-4.59,-3.02,177.68,-4.59,0.34,13.85,24.37,71.43,13.85,86.07,0.34,-1.18,1.35,-22.09,18.23,-0.73,-4.34,8.99,-0.78,-7.23,9.56,-62.92,3.75,8.85,-37.08,-2.99,9.6,-38.59,2.71
"Chittagong",1.73,12.22,0.5,0.1,1.42,0,-5.59,-5.39,7.25,0.3,20.67,0.51,0.71,0,0.5,-0.1,11.96,0.3,2.1,-0.1,0.54,9.66,9.42,11.99,-5.34,-52.05,3.36,171.69,14.62,-98.65,214.37,5.88,-26.21,-48.35,-54.32,180.33,7.98,0,8.81,421.88,287.01,2.8,26.37,10.35,1.6,273.47,-85.45,-31.63,59.58,0,242.86,239.14,39.16,-56.51,-23.9,-19.61,-29.29,-53.48,0,-22.27,167.91,217.82,191.97,86.88,-16.67,8.83,-4.78,242.52,54.73,2.95,-0.24,-54.59,1.63,94.37,-1.15,Inf,280.42,-68.67,-5.39,278.92,26.47,-20.7,-1841.03,-20.06,4.95,283.33,-60600,7.43,-9.11,4.56,7.5,4.56,-48.04,98.33,-47.94,-71.67,42445.14,0,40,-5.88,NA,8.22,-21.73,-25.81,-33100,-52.83,26900,45.09,-12.53,6.45,-4,3.3,2.13,NA,5.34,-150.27,7.5,2.78,-3.93,4.82,-4.35,-7.32,133.86,0,126.67,-13.33,-24.04,40,3.4,-16.74,3.73,2.23,6.28,20,-53.57,-31.43,5.9,67.27,12.5,3.11,82.3,323.01,2.08,-4.06,-60.52,-36.89,7.69,349.71,89.53,84.29,-0.09,-4.42,2.08,-14.92,-4.06,-12.23,-0.09,-2.6,12.5,4.46,-4.42,82.3,60,-52.81,89.53,54.33,3.11,79.02,60,-7.58,-2.6,55.35,-7.58,75.31,10,-12.23,7.69,10,64.58,75.31,4.46,-7.06,-7.59,8.76,3.1,1.05,32.93,-2.53,13.29,53.64,11.12,22.85,57.2,27.06,45.18,-7.69,36.25,9.1
