   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:19
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Atghoria	29602	14406	1523	3948	1220	1404	344	2522	2866	25367	85.6935
Pabna Sadar	117081	42758	7819	24530	3480	2362	1688	6023	7711	88660	75.7254
Chatmohor	66840	33153	3468	4336	2275	1855	564	6984	7548	52635	78.7478
Ishwardi	64920	23122	6125	11351	2122	2803	584	4115	4699	50222	77.3598
Faridpur	26060	9835	1607	5415	867	532	641	1764	2405	20661	79.2824
Sujanagar	57228	22112	3786	7637	3441	2188	269	4210	4479	43643	76.2616
Santhia	79707	34587	2945	15234	1865	1160	430	4204	4634	60425	75.8089
Bera	51630	23499	2381	7160	1379	1148	186	1992	2178	37745	73.1067
Bhangoora	26136	13198	1470	1597	921	230	436	1553	1989	19405	74.2463

 
