   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:01
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bhurungamari	62199	22452	3513	14109	674	1955	1511	3213	4724	47427	76.2504
Roumari	43717	13565	3294	10894	1773	1271	2034	1234	3268	34065	77.9216
Kurigram Sadar	75197	29189	1762	18729	765	2138	2609	4361	6970	59553	79.1960
Ulipur	103179	43736	3043	20010	2519	3023	1758	2893	4651	76982	74.6101
Nageswari	100122	38169	2792	19529	2121	3200	5330	4216	9546	75357	75.2652
Chilmari	30779	13314	1269	4756	1390	2057	962	1574	2536	25322	82.2704
Fulbari	39437	13543	721	9139	425	1569	1973	3136	5109	30506	77.3538
Char Rajibpur	22365	5920	2927	5699	538	947	1153	310	1463	17494	78.2204
Rajarhat	47557	18645	1728	10962	741	1388	1505	2600	4105	37569	78.9978

 
