   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:55
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Dighinala	17216	6294	907	2970	924	365	745	830	1575	13035	75.7145
Khagrachhari Sadar	18156	6756	695	3214	479	1432	691	839	1530	14106	77.6933
Mahalchhari	9009	3977	270	1301	253	300	458	241	699	6800	75.4801
Panchhari	10750	5634	400	957	161	304	258	244	502	7958	74.0279
Ramgarh	12111	5395	617	1773	358	371	343	362	705	9219	76.1209
Manikchhari	10856	2947	289	2410	323	491	258	1014	1272	7732	71.2233
Matiranga	24302	9542	1289	4328	717	807	1507	1574	3081	19764	81.3266
Lakshmichhari	5522	2499	153	473	434	120	159	306	465	4144	75.0453

 
