   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:43
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mirzapur	93116	42508	7706	5060	2634	986	888	12141	13029	71923	77.2402
Nagarpur	65277	28487	3741	6101	1324	2107	347	4974	5321	47081	72.1249
Bhuapur	42563	16558	3825	6670	982	2239	876	1551	2427	32701	76.8296
Ghatail	100230	44166	6833	13656	1739	2953	3192	5563	8755	78102	77.9228
Basail	37376	15468	3113	4117	1494	490	853	2539	3392	28074	75.1124
Tangail Sadar	115077	40994	11379	17877	2266	5727	2864	9280	12144	90387	78.5448
Kalihati	82654	32912	7637	11406	2154	3656	1369	6264	7633	65398	79.1226
Modhupur	111601	50816	4279	14302	827	1786	3705	5354	9059	81069	72.6418
Gopalpur	58182	23516	5681	10184	996	1325	1667	2878	4545	46247	79.4868
Shakhipur	68956	32861	3520	3620	884	501	1852	4100	5952	47338	68.6496
Delduar	46209	17907	3438	4103	913	1268	523	5222	5745	33374	72.2240

 
