   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:03
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Naogaon Sadar	62286	25532	3302	7088	1160	3055	542	9882	10424	50561	81.1755
Mohadebpur	70002	30901	2853	5604	1080	3768	2241	10234	12475	56681	80.9705
Manda	92164	44050	2866	9897	2660	3051	1851	12278	14129	76653	83.1702
Badalgachhi	48724	17489	2496	7230	1038	1776	1222	7541	8763	38792	79.6158
Rani Nagar	42245	19119	2856	4075	606	1643	1483	4261	5744	34043	80.5847
Patnitola	55310	25523	3032	3321	834	1954	2650	5927	8577	43241	78.1794
Atrai	47433	20455	3898	3426	1341	1714	2011	5742	7753	38587	81.3505
Dhamoirhat	43657	19632	1804	4556	817	1228	2292	4005	6297	34334	78.6449
Niamatpur	58216	28068	3147	4256	1283	2306	2002	7288	9290	48350	83.0528
Porsa	30136	13418	1652	2585	1192	1200	1823	2813	4636	24683	81.9054
Sapahar	38341	19200	2102	3828	211	1101	2422	2291	4713	31155	81.2577

 
