   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:19
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Atpara	29203	12020	576	4339	724	494	1214	1700	2914	21067	72.1398
Kalmakanda	45164	19972	1808	3405	959	481	1096	1679	2775	29400	65.0961
Modan	29390	13408	707	1743	651	374	892	1180	2072	18955	64.4947
Purbadhala	55958	24980	992	5914	1401	1324	1461	3277	4738	39349	70.3188
Kendua	53635	23049	891	3801	1675	627	1343	4017	5360	35403	66.0073
Netrokona Sadar	63679	26197	2806	5277	1387	1352	3149	5235	8384	45403	71.2998
Durgapur	42302	15956	876	5186	1829	1283	1319	3499	4818	29948	70.7957
Barhatta	31049	14186	1156	1939	1285	396	997	1770	2767	21729	69.9829
Mohonganj	32599	12296	933	3322	1777	281	929	1776	2705	21314	65.3824
Khaliajhuri	11398	4098	972	1161	354	222	169	751	920	7727	67.7926

 
