   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:42
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Naogaon Sadar	60208	26186	2588	6687	1520	1668	591	9738	10329	48978	81.3480
Mohadebpur	68342	34166	1874	5304	1137	1080	2275	8817	11092	54653	79.9699
Manda	89332	44493	1589	8001	2646	1132	1778	11958	13736	71597	80.1471
Badalgachhi	47350	17332	1956	7482	899	445	1280	8333	9613	37727	79.6769
Rani Nagar	39953	18530	1980	3504	510	788	1521	4409	5930	31242	78.1969
Patnitola	53382	26977	2417	2885	1057	916	3012	5103	8115	42367	79.3657
Atrai	45825	20248	2687	2749	1529	531	1902	5338	7240	34984	76.3426
Dhamoirhat	40765	19324	1415	4307	838	167	2261	3889	6150	32201	78.9918
Niamatpur	56670	25483	2663	4202	1696	1017	2422	7416	9838	44899	79.2289
Porsa	28159	13595	1386	2495	947	464	1709	2105	3814	22701	80.6172
Sapahar	36192	17338	1590	3872	236	497	2846	1743	4589	28122	77.7023

 
