   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:26
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Jhikarghachha	64637	23916	3792	11021	2274	1131	2736	5644	8380	50514	78.1503
Jessore Sadar	136915	45852	9605	26501	4693	3791	5178	9279	14457	104899	76.6161
Sarsa	74389	26998	4648	15786	1756	925	2044	3866	5910	56023	75.3109
Keshobpur	56324	20528	2672	11933	1517	997	2623	4008	6631	44278	78.6130
Bagherpara	45558	19629	2896	6554	1953	794	1368	3940	5308	37134	81.5093
Monirampur	91282	29754	3586	25722	2578	1603	6449	6169	12618	75861	83.1062
Abhaynagar	54309	17704	3143	11883	2094	813	2134	4664	6798	42435	78.1362
Chowgachha	51254	17827	3407	9741	1832	737	1392	4895	6287	39831	77.7130

 
