   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:04
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mirzapur	95390	41403	8342	6619	3167	2198	1054	11590	12644	74373	77.9673
Nagarpur	65689	28510	4339	6794	1572	3095	367	4853	5220	49530	75.4008
Bhuapur	42924	16006	4006	7400	1491	2978	847	1491	2338	34219	79.7200
Ghatail	102849	43340	7076	13953	1859	4859	3544	6051	9595	80682	78.4470
Basail	39042	15153	2624	3801	2206	2434	880	3086	3966	30184	77.3116
Tangail Sadar	119878	39861	12912	18586	2453	7391	3042	9526	12568	93771	78.2220
Kalihati	86061	33879	8072	11674	2099	4342	1520	6496	8016	68082	79.1090
Modhupur	113805	53463	6157	16477	1465	4631	4424	6290	10714	92907	81.6370
Gopalpur	58210	21975	4892	9186	1588	2798	1897	3898	5795	46234	79.4262
Shakhipur	68386	32267	4033	5110	1451	2034	1879	3886	5765	50660	74.0795
Delduar	47676	19234	4110	4459	1062	1827	649	5278	5927	36619	76.8080

 
