   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:05
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Brahmanbaria Sadar	93506	28435	10326	15901	5159	3979	1061	7674	8735	72535	77.5726
Nasirnagar	55411	22021	3066	6903	863	1631	1235	5240	6475	40959	73.9185
Nabinagar	92605	33176	9449	13450	2686	2398	890	8038	8928	70087	75.6838
Kashba	64374	19470	6160	9839	3349	2609	707	5602	6309	47736	74.1542
Sarail	54513	17924	3836	9121	1788	3718	438	3759	4197	40584	74.4483
Bancharampur	58956	17449	3223	11719	3167	2873	278	5218	5496	43927	74.5081
Akhaura	30306	10027	1680	4463	1255	1116	1053	2664	3717	22258	73.4442
Ashuganj	28059	8197	2685	4185	1883	1365	230	3552	3782	22097	78.7519
Bijoy Nagar	50174	16508	3329	8824	2157	1641	942	3604	4546	37005	73.7533

 
