   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:45
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mymensingh Sadar	133584	57630	7420	16186	3365	5750	4673	6691	11364	101715	76.1431
Trisal	85948	42512	3748	10896	1992	1720	2679	2668	5347	66215	77.0408
Fulbaria	83920	42600	3770	7322	2150	1208	4463	3317	7780	64830	77.2521
Bhaluka	87897	43422	4516	8052	1694	1267	3954	4544	8498	67449	76.7364
Muktagacha	91714	44419	5022	10900	2713	1487	3706	3600	7306	71847	78.3381
Gafargaon	84524	37115	5580	8222	3711	646	1775	6237	8012	63286	74.8734
Phulpur	120450	57612	5274	10154	3407	4003	3832	6676	10508	90958	75.5152
Gouripur	65968	31072	2409	7534	1089	1229	1237	4887	6124	49457	74.9712
Ishwarganj	77812	39850	2494	7679	1109	1322	2357	3945	6302	58756	75.5102
Nandail	81620	45466	1974	9971	1628	852	1808	2079	3887	63778	78.1402
Haluaghat	65700	32864	2130	8315	695	1429	2094	3603	5697	51130	77.8234
Dhubaura	40143	17291	2343	6857	772	422	1664	1849	3513	31198	77.7172

 
