   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:45
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Naogaon Sadar	60586	26193	2739	6817	1532	1834	610	9863	10473	49588	81.8473
Mohadebpur	69133	33620	2062	5287	1231	1040	2362	9185	11547	54787	79.2487
Manda	90538	44182	1745	8389	2801	1644	1860	12056	13916	72677	80.2724
Badalgachhi	47601	17252	2086	7657	915	483	1334	8314	9648	38041	79.9164
Rani Nagar	40511	18124	2227	3695	518	964	1571	4550	6121	31649	78.1245
Patnitola	53778	27340	2444	2825	961	1039	3041	5475	8516	43125	80.1908
Atrai	46116	20977	3114	2872	1518	611	1967	5412	7379	36471	79.0853
Dhamoirhat	39914	19349	1486	4402	832	245	2292	3892	6184	32498	81.4201
Niamatpur	56817	26314	2861	4310	1717	1388	2375	7576	9951	46541	81.9139
Porsa	28490	13595	1425	2589	992	516	1773	2212	3985	23102	81.0881
Sapahar	36314	17443	1683	4006	248	513	2916	1817	4733	28626	78.8291

 
