   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:40
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Gangachara	62870	16557	969	13146	1008	4329	5804	4593	10397	46406	73.8126
Pirganj	89893	40646	3168	14428	3436	1715	4448	4574	9022	72415	80.5569
Pirgachha	73253	29950	2464	16182	2286	1651	3024	4570	7594	60127	82.0813
Badarganj	64676	23112	1655	6629	670	1598	10129	6119	16248	49912	77.1724
Mithapukur	117500	51389	4887	19458	2253	3152	4372	5610	9982	91121	77.5498
Kaunia	48707	17294	1556	11871	829	1128	3030	2651	5681	38359	78.7546
Rangpur Sadar	132672	51136	8340	27936	1546	3268	4494	7041	11535	103761	78.2087
Taraganj	32294	11858	736	3916	509	1288	3786	3061	6847	25154	77.8906

 
