   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:44
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Atghoria	33602	13453	1751	4744	1231	1190	494	2018	2512	24881	74.0462
Pabna Sadar	128729	41479	9578	30359	5279	3170	4856	7110	11966	101831	79.1049
Chatmohor	70485	30300	4274	6406	3269	1590	970	6909	7879	53718	76.2120
Ishwardi	70103	23951	7455	11357	2386	2992	883	5111	5994	54135	77.2221
Faridpur	28052	9872	1798	6442	1017	764	1027	1798	2825	22718	80.9853
Sujanagar	60523	20572	3212	10723	4462	1942	651	4613	5264	46175	76.2933
Santhia	89138	35754	4071	20156	3167	2277	1449	4906	6355	71780	80.5268
Bera	55080	23813	3089	8940	1845	1728	840	2570	3410	42825	77.7505
Bhangoora	28549	12827	2156	2639	1166	380	998	1629	2627	21795	76.3424

 
