year,data_element,geo_level,var_name,is_empty
Upazila,03EPIDistrictStock,2009,No Variables,True
Upazila,05EPIDistrictSupply,2009,No Variables,True
Upazila,10KMC,2009,Received KMC and 2nd followed up,False
Upazila,10KMC,2009,Received KMC and 1st followed up,False
Upazila,10KMC,2009,Received KMC and 3rd followed up,False
Upazila,10KMC,2009,Received KMC and referred/discontinued,False
Upazila,10KMC,2009,Discharged after KMC as per protocol,False
Upazila,10KMC,2009,Babies born in facility received KMC,False
Upazila,10KMC,2009,Babies died during KMC,False
Upazila,10KMC,2009,Babies received KMC,False
Upazila,10KMC,2009,Discharged after KMC on request,False
Upazila,10KMC,2009,Received KMC and 4th followed up,False
Upazila,10KMC,2009,MBFFI|Number of LBW given KMC,False
Upazila,09AdolescentHealth,2009,# of Adolescents received Counselling for RTI/STI (Marital status),False
Upazila,09AdolescentHealth,2009,# of Adolescents received Iron & Folic acid (Marital status),False
Upazila,09AdolescentHealth,2009,# of Adolescents measured as an under-weight,False
Upazila,09AdolescentHealth,2009,# of Adolescents received Iron & Folic acid,False
Upazila,09AdolescentHealth,2009,# of Adolescents received treatment for RTI/STI (Marital status),False
Upazila,09AdolescentHealth,2009,# of Adolescents received Counselling for RTI/STI,False
Upazila,09AdolescentHealth,2009,# of Adolescents who knows about legal age of marriage,False
Upazila,09AdolescentHealth,2009,# of Adolescent girls using sanitary napkin,False
Upazila,09AdolescentHealth,2009,# of adolescents received services from facility,False
Upazila,09AdolescentHealth,2009,# of Adolescents received Counselling for the changes during puberty / Adolescents period,False
Upazila,09AdolescentHealth,2009,# of Adolescent referred from Educational Institute,False
Upazila,09AdolescentHealth,2009,# of sexually active adolescents using contraceptive methods,False
Upazila,09AdolescentHealth,2009,# of adolescents received services from facility (Marital status),False
Upazila,09AdolescentHealth,2009,# of Adolescents received treatment for RTI/STI,False
Upazila,09AdolescentHealth,2009,# of Adolescents measured as an under-weight (Marital status),False
Upazila,09AdolescentHealth,2009,# of Adolescent girls using sanitary napkin (Marital status),False
Upazila,09AdolescentHealth,2009,# of Adolescent referred from Adolescent clubs & others,False
Upazila,01EPIReport(Routinevaccination),2009,Penta 1 given (12-23m),False
Upazila,01EPIReport(Routinevaccination),2009,Penta 1 given (0-11m),False
Upazila,01EPIReport(Routinevaccination),2009,EPI Session Held,False
Upazila,01EPIReport(Routinevaccination),2009,PCV3 given 0-11m,False
Upazila,01EPIReport(Routinevaccination),2009,TT2 dose pregnant women,False
Upazila,01EPIReport(Routinevaccination),2009,EPI FWA,False
Upazila,01EPIReport(Routinevaccination),2009,EPI Women Given Vitamin A Dose,False
Upazila,01EPIReport(Routinevaccination),2009,MR given 15-18m,False
Upazila,01EPIReport(Routinevaccination),2009,PCV1 given 0-11m,False
Upazila,01EPIReport(Routinevaccination),2009,TT4 dose pregnant women,False
Upazila,01EPIReport(Routinevaccination),2009,Penta 3 given 0-11m,False
Upazila,01EPIReport(Routinevaccination),2009,OPV 2 given (0-11m),False
Upazila,01EPIReport(Routinevaccination),2009,OPV 1 given (12-23m),False
Upazila,01EPIReport(Routinevaccination),2009,EPI HA,False
Upazila,01EPIReport(Routinevaccination),2009,fIPV1 given (0-11m),False
Upazila,01EPIReport(Routinevaccination),2009,OPV 3 given (0-11m),False
Upazila,01EPIReport(Routinevaccination),2009,TT3 dose (15-49y women),False
Upazila,01EPIReport(Routinevaccination),2009,OPV 3 given (12-23m),False
Upazila,01EPIReport(Routinevaccination),2009,TT4 dose (15-49y women),False
Upazila,01EPIReport(Routinevaccination),2009,TT1 dose pregnant women,False
Upazila,01EPIReport(Routinevaccination),2009,TT5 dose pregnant women,False
Upazila,01EPIReport(Routinevaccination),2009,fIPV2 given (0-11m),False
Upazila,01EPIReport(Routinevaccination),2009,Penta 2 given (0-11m),False
Upazila,01EPIReport(Routinevaccination),2009,EPI Birth Registration done,False
Upazila,01EPIReport(Routinevaccination),2009,TT2 dose (15-49y women),False
Upazila,01EPIReport(Routinevaccination),2009,Penta 3 given 12-23m,False
Upazila,01EPIReport(Routinevaccination),2009,OPV 1 given (0-11),False
Upazila,01EPIReport(Routinevaccination),2009,BCG given (0-11m),False
Upazila,01EPIReport(Routinevaccination),2009,TT5 dose (15-49y women),False
Upazila,01EPIReport(Routinevaccination),2009,OPV 0 given (0-11m),False
Upazila,01EPIReport(Routinevaccination),2009,MR given 0-11m,False
Upazila,01EPIReport(Routinevaccination),2009,Penta 2 given (12-23m),False
Upazila,01EPIReport(Routinevaccination),2009,OPV 4 given (12-23m),False
Upazila,01EPIReport(Routinevaccination),2009,TT1 dose (15-49y women),False
Upazila,01EPIReport(Routinevaccination),2009,Fully Immunized Child,False
Upazila,01EPIReport(Routinevaccination),2009,EPI U1 Death,False
Upazila,01EPIReport(Routinevaccination),2009,EPI Infant Monthly Target,False
Upazila,01EPIReport(Routinevaccination),2009,EPI Gavi_Vol,False
Upazila,01EPIReport(Routinevaccination),2009,EPI Session Planned,False
Upazila,01EPIReport(Routinevaccination),2009,OPV 2 given (12-23m),False
Upazila,01EPIReport(Routinevaccination),2009,TT3 dose pregnant women,False
Upazila,01EPIReport(Routinevaccination),2009,PCV2 given 0-11m,False
Upazila,01EPIReport(Routinevaccination),2009,PCV3 given 12-23m,False
Upazila,01EPIReport(Routinevaccination),2009,PCV1 given 12-23m,False
Upazila,01EPIReport(Routinevaccination),2009,PCV2 given 12-23m,False
Upazila,04EPIDistrictRequisition,2009,No Variables,True
Upazila,08IMCI,2009,IMCI counselling,False
Upazila,08IMCI,2009,IMCI Underweight (0 - 5 years),False
Upazila,08IMCI,2009,IMCI Stunting (0 - 5 years),False
Upazila,08IMCI,2009,IMCI Pneumonia,False
Upazila,08IMCI,2009,IMCI Breast Feed within 1 hour of birth,False
Upazila,08IMCI,2009,IMCI Pus draining from Umbilicus,False
Upazila,08IMCI,2009,IMCI Anemia (0 - 5 years),False
Upazila,08IMCI,2009,IMCI Exclusive breast feeding,False
Upazila,08IMCI,2009,IMCI Complementary Feeding (6-23 months),False
Upazila,08IMCI,2009,IMCI Diarrhea,False
Upazila,08IMCI,2009,IMCI Wasting (0 - 5 years),False
Upazila,08IMCI,2009,IMCI Cough & Cold no Pneumonia,False
Upazila,08IMCI,2009,IMCI Very Severe Disease,False
Upazila,08IMCI,2009,IMCI Child Injury,False
Upazila,08IMCI,2009,IMCI Low Birth Weight,False
Upazila,08IMCI,2009,IMCI Severe Acute Malnutrition,False
Upazila,08IMCI,2009,IMCI Moderate Acute Malnutrition,False
Upazila,08IMCI,2009,IMCI Fever-malaria Unlikely,False
Upazila,08IMCI,2009,IMCI Fever-no malaria,False
Upazila,08IMCI,2009,IMCI Male,False
Upazila,08IMCI,2009,IMCI Measles,False
Upazila,08IMCI,2009,IMCI Ear problem,False
Upazila,08IMCI,2009,IMCI Female,False
Upazila,08IMCI,2009,IMCI Other Disease,False
Upazila,08IMCI,2009,IMCI Drowning,False
Upazila,08IMCI,2009,IMCI Fever-malaria,False
Upazila,08IMCI,2009,IMCI Referral1,False
Upazila,08IMCI,2009,IMCI Protein & energy malnutrition (PEM),False
Upazila,08IMCI,2009,IMCI Facilitator Training Information,False
Upazila,11EMEN(MBFFI),2009,MBFFI|Number of  full term  babies born in facility,False
Upazila,11EMEN(MBFFI),2009,MBFFI|# sick newborns(inborn) referred,False
Upazila,11EMEN(MBFFI),2009,MBFFI|Number of newborns dried immediately after birth,False
Upazila,11EMEN(MBFFI),2009,MBFFI|ANC service provided as per EMEN standards,False
Upazila,11EMEN(MBFFI),2009,MBFFI|# premature newborns(inborn )  referred out,False
Upazila,11EMEN(MBFFI),2009,MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,False
Upazila,11EMEN(MBFFI),2009,MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,False
Upazila,11EMEN(MBFFI),2009,MBFFI|No. of ongoing PDCA,False
Upazila,11EMEN(MBFFI),2009,"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",False
Upazila,11EMEN(MBFFI),2009,MBFFI|# of newborns for whom additional support for BF is provided(inborn),False
Upazila,11EMEN(MBFFI),2009,MBFFI|# delivered newborns for which weight was measured,False
Upazila,11EMEN(MBFFI),2009,MBFFI|# postpartum newborns  received 2nd PNC,False
Upazila,11EMEN(MBFFI),2009,MBFFI|Facility LBWs amongst delivered,False
Upazila,11EMEN(MBFFI),2009,MBFFI|Number of neonatal deaths (inborns),False
