   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:22
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mirzapur	6868	3711	627	353	133	39	19	602	621	5484	79.8486
Bhuapur	4512	1814	542	380	30	19	42	61	103	2888	64.0071
Ghatail	16602	8230	1032	1507	184	161	318	675	993	12107	72.9249
Tangail Sadar	13879	4585	949	1391	234	149	46	435	481	7789	56.1208
Kalihati	38111	9543	3522	467	549	287	1440	1217	2657	17025	44.6721
Modhupur	2849	19270	11358	1538	408	78	281	12	293	32945	1156.3707
Gopalpur	17075	4212	1037	6068	635	185	283	24	307	12444	72.8785
Delduar	7728	2702	491	714	109	78	164	556	720	4814	62.2930

 
