   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:55
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bhuapur	6999	3443	691	486	341	534	98	138	236	5731	81.8831
Ghatail	14429	6003	1396	1697	595	571	530	745	1275	11537	79.9570
Basail	14804	5182	1649	2527	1226	374	333	667	1000	11958	80.7755
Tangail Sadar	15256	5314	2026	2465	268	1862	307	683	990	12925	84.7208
Kalihati	30794	13496	3067	4029	871	1206	521	2291	2812	25481	82.7466
Modhupur	45141	20710	2225	6733	765	1210	1646	2326	3972	35615	78.8972
Gopalpur	15251	4780	2600	2926	371	508	266	557	823	12008	78.7358
Delduar	9506	4204	802	1048	244	391	70	841	911	7600	79.9495

 
