   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:19
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Panchlaish	8594	3070	1353	1014	194	372	123	129	252	6255	72.7833
Rangunia	16645	5792	652	2871	558	461	60	1247	1307	11641	69.9369
Doublemooring	11580	2550	1785	1490	437	105	264	382	646	7013	60.5613
Fatichhari	23480	6801	1108	3649	539	159	40	1229	1269	13525	57.6022
Sitakunda	14710	6272	749	2164	411	354	39	709	748	10698	72.7260
Rawzan	12194	4031	1230	1686	383	125	4	469	473	7928	65.0156
Sandwip	10161	4251	1451	1418	194	150	0	235	235	7699	75.7701
Chandlaish	5229	1459	135	723	254	104	15	347	362	3037	58.0799
Banshkhali	11770	4824	479	1478	134	52	33	271	304	7271	61.7757
Satkania	6633	2518	287	1019	179	150	16	165	181	4334	65.3400
Anwara	12267	5443	860	1785	538	223	42	349	391	9240	75.3240
Patiya	13880	5108	684	1653	284	301	9	709	718	8748	63.0259
Lohagora	11086	5185	888	2371	46	18	1	82	83	8591	77.4941

 
