   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:45
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mirzapur	6098	3199	533	384	137	82	45	749	794	5129	84.1095
Nagarpur	3185	1454	230	262	59	91	8	207	215	2311	72.5589
Bhuapur	6964	3436	734	441	181	406	93	137	230	5428	77.9437
Ghatail	9278	3880	813	982	411	363	337	416	753	7202	77.6245
Basail	13840	4912	1489	2421	814	299	280	582	862	10797	78.0130
Tangail Sadar	15046	5409	1858	2273	227	1256	261	437	698	11721	77.9011
Kalihati	39444	12774	3010	1145	723	662	2086	1495	3581	21895	55.5091
Modhupur	21516	9363	910	3578	339	372	718	1015	1733	16295	75.7343
Gopalpur	15231	4793	2733	3032	263	374	258	539	797	11992	78.7342
Delduar	9257	3982	716	923	217	261	69	837	906	7005	75.6725

 
