   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:56
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Panchlaish	8707	3050	1418	1138	347	950	226	146	372	7275	83.5535
Rangunia	14979	5359	1179	2362	414	698	137	1065	1202	11214	74.8648
Doublemooring	11712	3379	2364	2221	487	331	319	472	791	9573	81.7367
Fatichhari	12764	3985	901	2913	316	459	44	804	848	9422	73.8170
Sitakunda	12184	3860	1122	2079	660	258	46	499	545	8524	69.9606
Mirsharai	9836	3534	532	1375	442	394	1	1002	1003	7280	74.0138
Rawzan	3136	1300	333	476	185	48	29	125	154	2496	79.5918
Sandwip	3793	1495	104	766	155	66	15	73	88	2674	70.4983
Chandlaish	5615	2448	532	265	205	294	30	380	410	4154	73.9804
Banshkhali	11260	5067	876	2050	343	553	78	241	319	9208	81.7762
Satkania	15815	6793	695	2278	504	721	155	900	1055	12046	76.1682
Anwara	6383	2513	505	907	303	248	85	238	323	4799	75.1841
Patiya	1635	623	127	226	41	91	4	82	86	1194	73.0275
Lohagora	9844	4313	541	1217	63	218	21	226	247	6599	67.0358

 
