   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:43
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mirzapur	6096	3195	536	383	130	80	42	746	788	5112	83.8583
Nagarpur	3185	1456	232	266	56	94	8	209	217	2321	72.8728
Bhuapur	6872	3508	769	393	129	362	90	137	227	5388	78.4051
Ghatail	9267	3898	833	986	388	286	334	402	736	7127	76.9073
Basail	13840	4970	1351	2385	752	245	279	582	861	10564	76.3295
Kalihati	39438	12958	2929	905	558	584	2072	1489	3561	21495	54.5033
Modhupur	18116	8052	645	2999	246	250	567	840	1407	13599	75.0662
Gopalpur	15231	4725	2717	3136	232	314	244	528	772	11896	78.1039
Delduar	7992	3330	619	767	188	216	66	738	804	5924	74.1241

 
