   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:59
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Panchlaish	8707	3086	1427	1194	350	963	226	146	372	7392	84.8972
Rangunia	15066	5419	1193	2421	427	731	137	1069	1206	11397	75.6472
Doublemooring	11712	3397	2381	2244	487	337	319	472	791	9637	82.2831
Fatichhari	12764	3985	901	2913	316	459	44	804	848	9422	73.8170
Sitakunda	12625	4055	1204	2238	616	270	46	499	545	8928	70.7168
Mirsharai	2646	883	139	405	137	79	0	265	265	1908	72.1088
Rawzan	3135	970	300	516	210	78	8	128	136	2210	70.4944
Sandwip	3814	1506	104	764	155	66	15	73	88	2683	70.3461
Chandlaish	5641	2364	521	279	239	302	33	381	414	4119	73.0190
Banshkhali	11260	5040	673	2057	345	602	78	241	319	9036	80.2487
Satkania	10345	4511	359	1561	344	472	62	647	709	7956	76.9067
Anwara	6387	2544	493	923	306	250	85	238	323	4839	75.7633
Patiya	1638	624	122	226	44	93	4	83	87	1196	73.0159
Lohagora	9284	4091	503	1189	70	235	23	225	248	6336	68.2464

 
