   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:22
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Mirzapur	6868	3712	629	356	133	39	19	602	621	5490	79.9359
Bhuapur	4513	1829	559	374	29	19	40	61	101	2911	64.5025
Ghatail	16685	8249	1043	1515	184	161	319	675	994	12146	72.7959
Tangail Sadar	13880	4626	990	1424	241	143	47	437	484	7908	56.9741
Kalihati	38111	9383	3102	533	550	287	1440	1221	2661	16516	43.3366
Modhupur	28497	19583	2807	1049	408	78	284	92	376	24301	85.2756
Gopalpur	17075	4338	946	5798	634	183	285	24	309	12208	71.4963
Delduar	3146	1200	105	121	35	25	5	295	300	1786	56.7705

 
