   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	542262	214755	68774	88133	13889	11314	9173	32217	41390	438255	80.8198
Khulna	542834	210495	66371	98984	15896	13252	9735	25015	34750	439748	81.0097
Barisal	144280	45458	11569	34566	3392	5297	1837	4588	6425	106707	73.9583
Dhaka	853448	274024	77523	95206	22644	9261	7711	25303	33014	511672	59.9535
Chittagong	550638	194567	51066	104808	15392	10218	3836	23178	27014	403065	73.1996
Sylhet	80956	29779	11480	8926	1521	2544	1020	2580	3600	57850	71.4586
Rangpur	354977	145450	28621	66550	7263	6762	13752	15456	29208	283854	79.9641
Mymensingh	170640	65590	18582	27562	4301	6175	3528	6730	10258	132468	77.6301

 
