   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	571685	208819	71807	100548	17900	20009	12286	36050	48336	467419	81.7616
Khulna	574106	198476	63828	105623	19895	28728	14458	38521	52979	469529	81.7844
Barisal	131414	39537	12024	34670	4724	7132	2400	3476	5876	103963	79.1111
Dhaka	668100	254579	71117	100406	29624	25519	11416	36797	48213	529458	79.2483
Chittagong	527767	180271	51331	100662	19011	21128	6462	24874	31336	403739	76.4995
Sylhet	60662	22012	6608	9269	1229	4951	1507	3923	5430	49499	81.5980
Rangpur	486423	178401	40735	90512	15131	19191	23124	26205	49329	393299	80.8553
Mymensingh	206875	81076	20260	33482	6874	8970	5618	8596	14214	164876	79.6984

 
