   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	517395	197178	41001	82429	12123	11183	6936	31349	38285	382199	73.8699
Khulna	476644	175501	46120	93220	12633	11793	6621	19728	26349	365616	76.7063
Barisal	91263	28522	4217	24268	2272	2424	998	2750	3748	65451	71.7169
Dhaka	545463	200650	53819	72331	17511	6359	3220	20774	23994	374664	68.6873
Chittagong	492912	161770	35276	81034	11824	7126	2282	17107	19389	316419	64.1938
Sylhet	84613	26994	10820	9397	1724	1838	684	1957	2641	53414	63.1274
Rangpur	266492	112582	17849	45132	4928	4524	6792	11166	17958	202973	76.1648
Mymensingh	219313	82975	13259	41627	6186	6156	3203	9102	12305	162508	74.0987

 
