   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	467800	183239	40427	74019	11652	10700	7235	30202	37437	357474	76.4160
Khulna	505270	193051	48753	106696	13106	12298	7263	19667	26930	400834	79.3307
Barisal	113959	33890	7503	28800	2962	3261	1143	3412	4555	80971	71.0527
Dhaka	675206	250868	66904	91652	20169	8371	6251	25819	32070	470034	69.6134
Chittagong	497882	163440	39800	86453	12526	7826	2490	17586	20076	330121	66.3051
Sylhet	84691	27968	11167	9503	1781	1896	699	1982	2681	54996	64.9372
Rangpur	249797	103421	15031	45240	5076	5304	7805	11869	19674	193746	77.5614
Mymensingh	183182	72034	11296	28343	5058	3566	2377	5799	8176	128473	70.1341

 
