   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	565921	206240	71740	101982	18563	19982	15581	33861	49442	467949	82.6880
Khulna	558173	193141	63698	100789	19912	27750	13576	37401	50977	456267	81.7429
Barisal	130382	39292	12186	33806	4576	6823	2341	3427	5768	102451	78.5776
Dhaka	666217	252014	70555	101184	29334	25312	19810	36605	56415	534814	80.2762
Chittagong	522612	180045	51457	103760	19128	20543	6512	24851	31363	406296	77.7433
Sylhet	61363	21501	6794	9165	1138	5042	1503	3944	5447	49087	79.9945
Rangpur	504035	186253	43650	96049	15061	18941	23028	25842	48870	408824	81.1102
Mymensingh	206055	80586	19960	33033	6702	8887	5636	8640	14276	163444	79.3206

 
