   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	452023	175491	41194	76654	12117	10461	7078	29273	36351	352268	77.9314
Khulna	386419	145218	41813	81629	12563	10347	5622	14063	19685	311255	80.5486
Barisal	71929	25797	6578	10259	2303	2877	868	2773	3641	51455	71.5358
Dhaka	587069	231527	57417	89942	18513	7863	6294	25569	31863	437125	74.4589
Chittagong	508164	170611	42036	92126	13619	8085	2656	18466	21122	347599	68.4029
Sylhet	78714	27283	10607	8407	1698	1737	752	2075	2827	52559	66.7721
Rangpur	331719	127877	21462	71110	7084	5834	9656	17695	27351	260718	78.5960
Mymensingh	206575	79064	15490	31275	5943	5485	3530	7881	11411	148668	71.9681

 
