   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	412201	157530	62198	68590	11668	12308	7725	24917	32642	344936	83.6815
Khulna	415231	145881	52901	75847	15946	17469	11360	22525	33885	341929	82.3467
Barisal	141761	42792	11011	37294	3967	6376	2563	4189	6752	108192	76.3200
Dhaka	488392	184103	57596	77997	22996	15020	12758	24277	37035	394747	80.8259
Chittagong	466898	159768	45655	93039	15986	14336	5107	20994	26101	354885	76.0091
Sylhet	0	258	283	256	3	0	0	0	0	800	NULL
Rangpur	296021	112349	26258	52774	8844	9076	12890	16107	28997	238298	80.5004
Mymensingh	167367	66177	18628	27464	4826	5854	4610	6865	11475	134424	80.3169

 
