   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	600309	217672	76851	108155	18724	22571	13487	39441	52928	496901	82.7742
Khulna	597551	203334	68043	108268	21101	31195	14472	40901	55373	487314	81.5519
Barisal	141208	43249	13119	36682	5268	8342	2662	3941	6603	113263	80.2100
Dhaka	750018	285066	78370	112558	31839	31510	13274	43691	56965	596308	79.5058
Chittagong	565964	191877	55385	110731	22028	26312	7379	26597	33976	440309	77.7981
Sylhet	56294	20628	6006	8101	957	4208	1453	3671	5124	45024	79.9801
Rangpur	559247	205667	47720	98517	17286	23756	26219	31362	57581	450527	80.5596
Mymensingh	209494	80784	20209	33247	7549	10290	5730	8485	14215	166294	79.3789

 
