   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	615427	222221	77914	109674	19239	24323	13785	41489	55274	508645	82.6491
Khulna	597874	201252	68936	107852	21608	32387	14562	41133	55695	487730	81.5774
Barisal	132627	40191	12723	35416	5038	7622	2505	3531	6036	107026	80.6970
Dhaka	754103	284984	78018	113665	32524	33031	13415	44570	57985	600207	79.5922
Chittagong	557170	188522	54493	110394	22293	27266	7450	26316	33766	436734	78.3843
Sylhet	50262	17667	4653	7204	776	3615	1403	3485	4888	38803	77.2015
Rangpur	529413	193350	44719	92256	16945	23789	24319	30025	54344	425403	80.3537
Mymensingh	209692	81412	19459	32806	7797	10783	5730	8554	14284	166541	79.4217

 
