   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	595367	216158	76453	107140	18685	22160	13369	38848	52217	492813	82.7747
Khulna	596533	202889	67865	108399	21004	30912	14432	40786	55218	486287	81.5189
Barisal	142117	43536	13051	37052	5248	8282	2697	3974	6671	113840	80.1030
Dhaka	749162	285400	78367	112661	31721	31334	13221	43531	56752	596235	79.5869
Chittagong	557163	188673	54357	108918	21790	25824	7263	26183	33446	433008	77.7166
Sylhet	56279	20585	6008	8111	1021	4204	1459	3662	5121	45050	80.0476
Rangpur	547033	202029	45603	96156	17221	23413	26175	31292	57467	441889	80.7792
Mymensingh	209498	80695	20078	33472	7512	10208	5730	8465	14195	166160	79.3134

 
