   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	606125	219157	77178	108506	19127	23616	13716	40080	53796	501380	82.7189
Khulna	597453	202295	68825	107450	21543	32187	14540	41089	55629	487929	81.6682
Barisal	141334	43756	13281	36835	5457	7691	2672	3966	6638	113658	80.4180
Dhaka	756374	285728	79083	114166	32426	32951	13454	44650	58104	602458	79.6508
Chittagong	562941	190614	55184	111040	22504	27316	7413	26875	34288	440946	78.3290
Sylhet	50239	18372	4996	7409	980	3610	1403	3480	4883	40250	80.1170
Rangpur	516472	190103	42848	89263	16872	23495	24236	29920	54156	416737	80.6892
Mymensingh	209656	81409	19634	32851	7757	10677	5731	8547	14278	166606	79.4664

 
