   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	415673	159183	64719	69174	11744	12558	7844	25341	33185	350563	84.3362
Khulna	480947	165837	58303	86827	16989	19081	12192	28184	40376	387413	80.5521
Barisal	116613	33530	9836	32001	3820	4880	1879	3292	5171	89238	76.5249
Dhaka	503727	190402	60472	78474	23027	15394	12926	25577	38503	406272	80.6532
Chittagong	360888	122064	32490	70864	11033	12169	3742	13640	17382	266002	73.7076
Sylhet	49232	15853	7029	6007	657	3567	1249	2338	3587	36700	74.5450
Rangpur	340598	131002	30726	58121	10032	10636	16204	18801	35005	275522	80.8936
Mymensingh	167359	65244	18272	25512	4681	5847	4537	6784	11321	130877	78.2014

 
