   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	566111	204619	72730	103117	18296	19806	12139	36026	48165	466733	82.4455
Khulna	561807	194304	63784	102379	19993	27957	13595	37950	51545	459962	81.8719
Barisal	130690	39565	12206	33786	4616	6887	2345	3444	5789	102849	78.6969
Dhaka	664903	252540	70776	100704	29513	25531	19963	36714	56677	535741	80.5743
Chittagong	535697	184943	52277	105132	19556	21180	6541	26152	32693	415781	77.6150
Sylhet	59981	21326	6607	9025	1128	4922	1476	3871	5347	48355	80.6172
Rangpur	504011	186200	43382	95921	15112	19159	23041	25914	48955	408729	81.0953
Mymensingh	205873	80474	19974	32547	6737	8686	5586	8542	14128	162546	78.9545

 
